# Image Name: 10 cm based_Color
# Camera Height (meters): 0.205
# Focal Length (mm): 1.93
# Sensor Width (mm): 3.6
# Conversion Factor (pixels_per_meter): 3347.4255

x (pixels),y (pixels),curvature (meters^-1)
775,367,0.0
776,367,5.470198475538896e-05
777,367,5.470198475538896e-05
778,368,5.470198475538896e-05
779,368,5.470198475538896e-05
780,368,0.00010247395888539465
781,369,0.0
782,369,4.777197413000556e-05
783,370,4.777197413000556e-05
784,370,4.777197413000556e-05
785,371,0.0
786,371,8.789876499840366e-05
787,372,0.0
788,373,0.0
789,373,0.0
790,374,0.0
791,375,8.789876499840366e-05
792,375,0.0
793,376,4.777197413000556e-05
794,376,0.0
795,377,0.0
796,377,4.777197413000556e-05
797,378,0.0
798,378,4.777197413000556e-05
799,379,0.0
800,380,4.777197413000556e-05
801,380,0.0
802,381,0.0
803,381,0.0
804,382,0.0
805,382,4.777197413000556e-05
806,383,4.777197413000556e-05
807,384,4.777197413000556e-05
808,384,4.777197413000556e-05
809,385,4.777197413000556e-05
810,385,0.0
811,385,4.777197413000556e-05
812,386,4.777197413000556e-05
813,386,4.777197413000556e-05
814,387,4.777197413000556e-05
815,388,4.777197413000556e-05
816,388,4.777197413000556e-05
817,389,4.777197413000556e-05
818,389,4.777197413000556e-05
819,390,4.777197413000556e-05
820,390,4.777197413000556e-05
821,390,4.777197413000556e-05
822,391,4.777197413000556e-05
823,391,4.777197413000556e-05
824,392,4.777197413000556e-05
825,393,4.777197413000556e-05
826,393,4.777197413000556e-05
827,394,4.777197413000556e-05
828,394,4.777197413000556e-05
829,395,4.777197413000556e-05
830,395,0.0
831,395,0.0
832,396,0.0
833,396,0.0
834,397,0.0
835,397,0.0
836,397,4.777197413000556e-05
837,398,0.0
838,398,0.0
839,399,0.0
840,399,0.0
841,400,4.777197413000556e-05
842,400,0.0
843,400,4.777197413000556e-05
844,401,0.0
845,401,4.777197413000556e-05
846,402,0.0
847,402,0.0
848,403,4.777197413000556e-05
849,403,0.0
850,404,4.777197413000556e-05
851,404,0.0
852,404,0.0
853,405,0.0
854,405,0.0
855,406,0.0
856,406,0.0
857,406,4.777197413000556e-05
858,407,0.0
859,407,0.0
860,408,5.470198475538896e-05
861,408,0.0
862,409,0.00010247395888539465
863,409,5.470198475538896e-05
864,409,5.470198475538896e-05
865,409,5.470198475538896e-05
866,410,5.470198475538896e-05
867,410,0.0
868,410,5.470198475538896e-05
869,410,5.470198475538896e-05
870,411,5.470198475538896e-05
871,411,5.470198475538896e-05
872,411,5.470198475538896e-05
873,412,0.0
874,412,0.0
875,412,5.470198475538896e-05
876,413,5.470198475538896e-05
877,413,0.0
878,414,5.470198475538896e-05
879,414,5.470198475538896e-05
880,414,0.0
881,414,5.470198475538896e-05
882,415,0.0
883,415,5.470198475538896e-05
884,415,5.470198475538896e-05
885,416,5.470198475538896e-05
886,416,0.0
887,417,5.470198475538896e-05
888,417,5.470198475538896e-05
889,417,5.470198475538896e-05
890,417,5.470198475538896e-05
891,418,5.470198475538896e-05
892,418,0.0
893,418,0.0
894,418,5.470198475538896e-05
895,419,5.470198475538896e-05
896,419,0.0
897,419,5.470198475538896e-05
898,419,5.470198475538896e-05
899,420,5.470198475538896e-05
900,420,0.0
901,420,0.0
902,421,5.470198475538896e-05
903,421,5.470198475538896e-05
904,421,0.0
905,421,0.0
906,421,0.0
907,422,0.0
908,422,0.0
909,422,0.0
910,422,0.0
911,422,5.470198475538896e-05
912,423,0.0
913,423,0.0
914,423,0.0
915,423,5.470198475538896e-05
916,424,5.470198475538896e-05
917,424,0.0
918,424,0.0
919,424,5.470198475538896e-05
920,425,5.470198475538896e-05
921,425,0.0
922,425,0.0
923,425,5.470198475538896e-05
924,426,5.470198475538896e-05
925,426,0.0
926,426,0.0
927,426,5.470198475538896e-05
928,427,5.470198475538896e-05
929,427,0.0
930,427,0.0
931,427,0.0
932,428,0.00011367135132323712
933,428,5.8969366567848034e-05
934,428,0.0008795407444867453
935,428,0.0008795407444867453
936,428,0.0009385101110545934
935,428,0.0008795407444867453
934,428,0.0008795407444867453
933,428,5.8969366567848034e-05
932,428,0.00011367135132323712
931,427,0.0
930,427,0.0
929,427,0.0
928,427,5.470198475538896e-05
927,426,5.470198475538896e-05
926,426,0.0
925,426,0.0
924,426,5.470198475538896e-05
923,425,5.470198475538896e-05
922,425,0.0
921,425,0.0
920,425,5.470198475538896e-05
919,424,5.470198475538896e-05
918,424,0.0
917,424,0.0
916,424,5.470198475538896e-05
915,423,5.470198475538896e-05
914,423,0.0
913,423,0.0
912,423,0.0
911,422,5.470198475538896e-05
910,422,0.0
909,422,0.0
908,422,0.0
907,422,0.0
906,421,0.0
905,421,0.0
904,421,0.0
903,421,5.470198475538896e-05
902,421,5.470198475538896e-05
901,420,0.0
900,420,0.0
899,420,5.470198475538896e-05
898,419,5.470198475538896e-05
897,419,5.470198475538896e-05
896,419,0.0
895,419,5.470198475538896e-05
894,418,5.470198475538896e-05
893,418,0.0
892,418,0.0
891,418,5.470198475538896e-05
890,417,5.470198475538896e-05
889,417,5.470198475538896e-05
888,417,5.470198475538896e-05
887,417,5.470198475538896e-05
886,416,0.0
885,416,5.470198475538896e-05
884,415,5.470198475538896e-05
883,415,5.470198475538896e-05
882,415,0.0
881,414,0.0
880,414,0.0
879,414,5.470198475538896e-05
878,414,5.470198475538896e-05
877,413,0.0
876,412,5.470198475538896e-05
875,412,5.470198475538896e-05
874,412,0.0
873,412,0.0
872,411,5.470198475538896e-05
871,411,0.0
870,411,5.470198475538896e-05
869,410,5.470198475538896e-05
868,410,5.470198475538896e-05
867,410,5.470198475538896e-05
866,410,5.470198475538896e-05
865,409,0.0
864,409,5.470198475538896e-05
863,409,5.470198475538896e-05
862,408,0.0
861,408,0.0
860,407,5.470198475538896e-05
859,407,0.0
858,407,0.0
857,406,0.0
856,406,0.0
855,406,0.00010247395888539465
854,405,0.0
853,405,4.777197413000556e-05
852,404,0.0
851,404,0.0
850,403,4.777197413000556e-05
849,403,0.0
848,402,4.777197413000556e-05
847,402,0.0
846,402,0.0
845,401,0.0
844,401,0.0
843,400,0.0
842,400,0.0
841,400,4.777197413000556e-05
840,399,0.0
839,399,4.777197413000556e-05
838,398,0.0
837,398,4.777197413000556e-05
836,397,4.777197413000556e-05
835,397,0.0
834,396,4.777197413000556e-05
833,396,0.0
832,395,4.777197413000556e-05
831,395,0.0
830,395,4.777197413000556e-05
829,394,4.777197413000556e-05
828,394,4.777197413000556e-05
827,393,0.0
826,393,4.777197413000556e-05
825,392,4.777197413000556e-05
824,391,4.777197413000556e-05
823,391,4.777197413000556e-05
822,391,4.777197413000556e-05
821,390,4.777197413000556e-05
820,390,4.777197413000556e-05
819,389,4.777197413000556e-05
818,389,4.777197413000556e-05
817,388,4.777197413000556e-05
816,388,4.777197413000556e-05
815,387,4.777197413000556e-05
814,386,4.777197413000556e-05
813,386,4.777197413000556e-05
812,386,4.777197413000556e-05
811,385,0.0
810,385,4.777197413000556e-05
809,384,4.777197413000556e-05
808,384,4.777197413000556e-05
807,383,0.0
806,382,4.777197413000556e-05
805,382,0.0
804,381,0.0
803,381,0.0
802,380,0.0
801,380,4.777197413000556e-05
800,379,4.777197413000556e-05
799,378,4.777197413000556e-05
798,378,0.0
797,377,4.777197413000556e-05
796,377,0.0
795,377,8.789876499840366e-05
794,376,4.777197413000556e-05
793,375,0.0
792,375,4.777197413000556e-05
791,374,0.0
790,373,4.0126790868398224e-05
789,373,0.0
788,372,0.0
787,372,0.0
786,371,4.777197413000556e-05
785,370,4.777197413000556e-05
784,370,4.777197413000556e-05
783,369,0.00010247395888539465
782,369,4.777197413000556e-05
781,369,0.0
780,368,5.470198475538896e-05
779,368,5.470198475538896e-05
778,368,0.0
777,367,5.470198475538896e-05
776,367,5.470198475538896e-05

# Summary Statistics
# Mean Curvature (meters^-1): 0.0000
# Max Curvature (meters^-1): 0.0009
