# Image Name: 20 cm claw_Color
# Camera Height (meters): 0.205
# Focal Length (mm): 1.93
# Sensor Width (mm): 3.6
# Conversion Factor (pixels_per_meter): 3347.4255

x (pixels),y (pixels),curvature (meters^-1)
778,410,0.9009348767095585
782,409,8.532935987513019
786,408,8.320464403107083
789,407,3.3395783355855837
793,405,9.185259723274878
797,405,3.3395783355855837
801,404,0.0
806,404,4.0328203651448735
809,402,13.314027005339362
813,402,9.593110854099661
817,401,4.653063795124634
821,401,4.108224413427402
825,399,7.661271328782891
829,398,22.297354696036646
834,399,7.457817620519546
837,398,69.60974552985114
842,398,1.4566058161223074
846,396,17.849917621995505
849,396,85.7717445789446
852,395,134.70255011457243
847,397,33.62167274621652
843,397,26.876333382662615
839,397,63.18441338924725
835,399,0.0
831,398,6.783509029549849
827,398,15.88468683445663
823,401,3.149051336026682
819,400,12.295640258891169
815,401,4.108224413427402
811,403,4.0328203651448735
807,403,8.137158272213817
803,403,4.0328203651448735
799,404,3.945334089740419
795,406,5.006918414799735
791,406,0.9009348767095585
787,406,9.144196890626827
783,408,14.643708030633395
779,409,2.563731644738825
775,409,1.9007041470982553
771,411,6.651934741877385
768,412,4.31882781940411
764,412,0.0
760,413,4.218485652824243
757,416,18.875592458038458
753,414,7.840761423600709
749,415,4.519989723007188
745,416,13.52673037235841
741,417,14.124578096336702
737,418,5.436166936616913
733,419,5.436166936616913
729,420,18.875592458038458
726,421,0.0
723,422,1.828189713167796
719,424,5.446360482638007
715,425,5.446360482638007
711,425,3.0456579572637144
707,426,3.0456579572637144
703,428,1.2628832599676072
699,428,4.106239877488932
695,430,1.1402321035156744
692,431,4.106239877488932
688,432,0.0
684,433,0.0
680,434,3.9839286939144847
676,436,0.0
672,436,1.2628832599676072
668,438,1.2628832599676072
665,439,0.0
661,439,4.106239877488932
657,441,3.9839286939144847
653,443,12.291892011080416
649,444,26.212419900417547
646,444,46.536593460326436
642,446,102.42687633078457
638,447,176.86948863234238
634,447,237.09156079958385
630,450,227.2163103200933
626,449,239.94983268263704
625,446,270.8138309664309
624,443,228.1474847579339
627,440,225.12380246510918
630,437,239.65699622541925
634,437,197.8125754760639
638,436,106.59046603555764
642,434,61.57517071428477
646,434,25.06011525926405
650,432,17.46785572455122
654,431,7.1011170957218726
657,430,0.0
661,429,0.0
665,427,8.08603794621502
669,426,4.106239877488932
673,425,7.1011170957218726
677,425,9.61208870069577
680,424,7.1011170957218726
684,423,8.08603794621502
688,421,4.106239877488932
692,420,4.106239877488932
696,419,4.106239877488932
699,418,2.1620097593125314
703,416,10.47856767837766
707,415,8.08603794621502
711,414,8.08603794621502
715,414,4.106239877488932
719,412,0.0
723,411,0.0
727,411,10.47856767837766
731,409,2.1620097593125314
734,408,1.0257258271003018
738,407,1.0257258271003018
742,406,9.069716658332728
746,404,8.320464403107083
750,403,8.320464403107083
753,402,18.709352108656496
757,402,6.982364468504752
762,401,7.35305305014333
766,400,3.116301961582507
770,400,0.0
773,398,9.593110854099661
777,397,9.185259723274878
781,397,4.0328203651448735
786,396,7.1819419778076
789,396,3.3395783355855837
793,394,13.613134961584906
798,394,8.137158272213817
802,394,9.593110854099661
805,393,0.5618945004155713
809,391,8.55613623632064
814,392,0.0
817,390,12.506762884248303
822,391,0.9005087348441524
826,390,12.690377939382248
829,388,21.970631886059184
834,389,16.293612683444575
838,387,29.30891035999757
842,388,31.480401881089264

# Summary Statistics
# Mean Curvature (meters^-1): 26.4483
# Max Curvature (meters^-1): 270.8138
