# Image Name: 2cm crooked_Color
# Camera Height (meters): 0.205
# Focal Length (mm): 1.93
# Sensor Width (mm): 3.6
# Conversion Factor (pixels_per_meter): 3347.4255

x (pixels),y (pixels),curvature (meters^-1)
796,290,55.69381770263819
797,291,26.876333382662615
798,292,26.876333382662615
799,293,59.689864352497764
800,294,59.689864352497764
801,295,59.689864352497764
801,296,0.0
802,297,33.188222932491875
803,298,33.188222932491875
804,299,73.2920638823897
804,300,0.0
805,301,0.0
806,302,59.68986435249775
807,303,90.06888185845474
807,304,59.68986435249775
808,305,59.68986435249775
808,306,21.844912557863953
809,307,101.80481103810067
810,308,101.80481103810067
810,310,23.750165053742666
811,311,23.750165053742666
811,312,40.130498656802125
812,313,84.99042864323165
812,314,40.130498656802125
812,315,0.0
813,316,45.348387929648226
813,317,67.42212788751299
814,318,67.42212788751299
814,320,45.348387929648226
814,321,0.0
815,322,94.28841489133384
815,323,94.28841489133384
815,324,49.48764962522076
815,325,0.0
816,326,49.48764962522076
816,328,49.48764962522076
816,329,49.48764962522076
816,330,0.0
816,331,0.0
816,332,0.0
817,333,100.70007124645122
817,334,48.76241824979645
817,336,51.79855832822253
817,337,51.79855832822253
817,338,102.99770690014593
817,339,102.99770690014593
817,340,102.99770690014593
817,341,51.79855832822253
817,343,48.76241824979645
817,344,51.79855832822253
817,345,100.70007124645122
816,346,0.0
816,347,0.0
816,348,0.0
816,349,49.48764962522076
816,351,49.48764962522076
816,352,49.48764962522076
815,353,49.48764962522076
815,354,49.48764962522076
815,355,49.48764962522076
815,356,94.28841489133384
814,357,0.0
814,359,14.367129148330498
814,360,45.348387929648226
814,361,94.28841489133384
813,362,45.348387929648226
813,363,45.348387929648226
812,364,0.0
812,365,45.348387929648226
812,366,76.36932931285503
811,368,19.105855407936545
811,369,64.58627060420926
810,370,19.105855407936545
810,371,64.58627060420926
809,372,19.105855407936545
809,373,64.58627060420926
808,374,23.750165053742666
808,375,48.76241824979645
807,376,0.0
807,377,48.76241824979645
806,378,0.0
806,379,88.72630945506495
805,380,0.0
805,381,88.72630945506495
804,382,40.600046388616995
803,383,0.0
803,384,40.600046388616995
802,385,40.600046388616995
801,386,0.0
801,387,40.600046388616995
800,388,0.0
799,389,0.0
799,390,73.2920638823897
798,391,33.188222932491875
797,392,30.377637790097065
796,393,30.377637790097065
796,394,64.63102618292116
795,395,64.63102618292116
794,396,64.63102618292116
793,397,29.023132399816557
792,398,65.74330522234324
792,398,37.23385989105329
791,399,37.23385989105329
790,400,0.0
789,401,37.23385989105329
788,402,37.23385989105329
787,403,37.23385989105329
786,403,37.23385989105329
786,404,64.63102618292116
785,405,64.63102618292116
784,406,64.63102618292116
783,406,30.377637790097065
782,407,30.377637790097065
781,408,30.377637790097065
780,409,107.40249024143141
779,409,0.0
778,410,40.600046388616995
777,411,40.600046388616995
776,411,0.0
775,412,40.600046388616995
774,413,40.600046388616995
773,413,0.0
772,414,40.600046388616995
771,414,0.0
770,415,0.0
769,416,88.72630945506495
768,416,48.76241824979645
767,417,64.58627060420926
766,417,64.58627060420926
765,418,64.58627060420926
764,418,64.58627060420926
763,419,112.19720270737785
762,419,19.105855407936545
761,419,19.105855407936545
759,420,34.03623767208978
758,420,19.105855407936545

# Summary Statistics
# Mean Curvature (meters^-1): 43.4313
# Max Curvature (meters^-1): 112.1972
