Model,RMSE_Position_cm,RMSE_Curvature,Time_Seconds
ExtraTreesRegressor,0.405097905040823,0.0014105243359356376,0.7
LGBMRegressor,0.5119648745263566,0.00178232952724927,0.13
HistGradientBoostingRegressor,0.5030639806470631,0.0018766550976248326,0.38
KNeighborsRegressor,0.6289939770622553,0.00201398786625226,0.0
ExtraTreeRegressor,0.5953548852181358,0.002226058462051181,0.01
RandomForestRegressor,0.4912132238314094,0.002244601061647522,6.71
BaggingRegressor,0.5305111200696175,0.0023898094767700823,0.69
XGBRegressor,0.46526456425364654,0.0026031306177237167,0.23
GradientBoostingRegressor,0.7094242710227383,0.002917688939289814,3.86
DecisionTreeRegressor,0.6379718538096875,0.003065213837658874,0.1
NuSVR,1.0906168152332996,0.0031453879924504997,2.09
AdaBoostRegressor,1.078998503486692,0.003652657436213839,0.69
RidgeCV,1.3433701093503374,0.006803669267721053,0.01
ElasticNetCV,1.370519981250101,0.006809138716681034,0.23
LassoCV,1.3409850308065019,0.006811135336244137,0.26
LassoLarsIC,1.3405987747429298,0.00682169420515334,0.01
LassoLarsCV,1.3405987747429298,0.006823308321317767,0.03
BayesianRidge,1.3408621009659796,0.0068238899208158685,0.0
LinearRegression,1.3405987747429085,0.006830363955708789,0.0
TransformedTargetRegressor,1.3405987747429085,0.006830363955708789,0.0
Ridge,1.378345978717345,0.006930077057970897,0.0
KernelRidge,1.38958524746492,0.007064320577356052,0.36
HuberRegressor,1.3542995150652115,0.007300186951268103,0.08
LinearSVR,1.450289985871815,0.007305986802553405,0.19
OrthogonalMatchingPursuitCV,1.4878666508367842,0.007394555215642376,0.01
RANSACRegressor,2.1544403803031322,0.009765782850683483,0.13
SGDRegressor,1.4672317869863678,0.01155959282257502,0.02
OrthogonalMatchingPursuit,1.5890082623623818,0.011973926041486158,0.0
LarsCV,1.4079271593174292,0.014997296708920907,0.04
MLPRegressor,1.1049193372707453,0.015021454618159789,0.94
TweedieRegressor,1.6718322038399573,0.01666004235037028,0.0
PoissonRegressor,1.63658463772183,0.01819187025647799,0.0
DummyRegressor,1.7227185089605002,0.018236071582735096,0.0
ElasticNet,1.7227185089605002,0.018236071582735096,0.0
LassoLars,1.7227185089605002,0.018236071582735096,0.0
Lasso,1.7227185089605002,0.018236071582735096,0.0
QuantileRegressor,1.804456896139931,0.01876635564461194,37.24
SVR,1.0927778904232706,0.018873273044229814,0.27
PassiveAggressiveRegressor,2.1902676256698905,0.02905724954384009,0.0
GaussianProcessRegressor,14.282372910137061,0.0981491498871194,0.7
Lars,4169.7367792973855,8.829520942187635,0.01
