FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp
0.0022317278,0.0019904359,0.0025817894,0.0024520454,0.0018328748,0.002374157,0.002737034,0.0022868705,0.002336402,0.0021154422,0.01818181818181818,2025-05-05T14:19:01.401849
0.0023232976,0.0020300874,0.0026879506,0.0025508404,0.0018109771,0.0024572553,0.0028545593,0.0023134234,0.0023776356,0.0022031674,0.01818181818181818,2025-05-05T14:19:01.437787
0.0023981025,0.0020057973,0.0026980815,0.0025607771,0.0017849933,0.002468692,0.0028520264,0.0023594026,0.0023381205,0.0022095153,0.01818181818181818,2025-05-05T14:19:01.499987
0.0023208933,0.001957282,0.0026650012,0.0025665432,0.0017380923,0.002463403,0.002868115,0.0023071005,0.0023327356,0.0022022421,0.01818181818181818,2025-05-05T14:19:01.541628
0.0022878598,0.0019857546,0.0026588428,0.0025546318,0.0017125633,0.002453799,0.0028547058,0.0022812637,0.0023565148,0.0022120452,0.01818181818181818,2025-05-05T14:19:01.583283
0.0022293504,0.0019333203,0.0026563115,0.002556104,0.0017343513,0.0024457108,0.0028671033,0.0022532758,0.002363877,0.0021968207,0.01818181818181818,2025-05-05T14:19:01.624981
0.0021759907,0.0018894051,0.0026333146,0.002477389,0.001749305,0.0024148216,0.002851238,0.002195155,0.0023595986,0.0021772203,0.01818181818181818,2025-05-05T14:19:01.664964
0.0021756631,0.001895834,0.0026019686,0.0024852997,0.0017639183,0.0023917402,0.0028371233,0.002186587,0.0023723198,0.00217061,0.01818181818181818,2025-05-05T14:19:01.728293
0.0021255089,0.0019198384,0.0026167443,0.0025232318,0.001797689,0.0024242036,0.002837095,0.0022184942,0.002351134,0.0021678403,0.01818181818181818,2025-05-05T14:19:01.770821
0.0021847675,0.0019324273,0.0026499345,0.002531912,0.0018176659,0.002413337,0.0028429409,0.0022037171,0.002338486,0.002182161,0.01818181818181818,2025-05-05T14:19:01.812441
0.002096132,0.0019895495,0.0026631176,0.0025198807,0.0017991881,0.0024383499,0.0028273456,0.0022375872,0.002319231,0.002180807,0.01818181818181818,2025-05-05T14:19:01.853073
0.0021704887,0.0020112775,0.00265408,0.0025389008,0.0017696845,0.0024500624,0.0028315906,0.0022244821,0.0023204293,0.002205751,0.01818181818181818,2025-05-05T14:19:01.894277
0.0021595373,0.0019781243,0.0026592952,0.00252684,0.0017269128,0.0024707385,0.0028225,0.002278015,0.0023363454,0.002201993,0.01818181818181818,2025-05-05T14:19:01.937654
