Section,PosX,PosY,PosZ,Timestamp,Clamp
0cm,0.4465318005713885,0.31133018281518327,0.6637141042253383,2025-05-05T15:05:21.213644,close
0cm,0.4465318005713885,0.31133018281518327,0.6637141042253383,2025-05-05T15:05:28.248444,open
1cm,0.44683354767364347,0.31148276202125946,0.653002927755258,2025-05-05T15:05:32.848969,close
1cm,0.44683354767364347,0.31148276202125946,0.653002927755258,2025-05-05T15:05:39.890062,open
2cm,0.4470758823126355,0.31161432513483495,0.6424054284927846,2025-05-05T15:05:44.474072,close
2cm,0.4470758823126355,0.31161432513483495,0.6424054284927846,2025-05-05T15:05:51.516311,open
3cm,0.44726918213768474,0.3116295386768965,0.6319020125283087,2025-05-05T15:05:56.116003,close
3cm,0.44726918213768474,0.3116295386768965,0.6319020125283087,2025-05-05T15:06:03.137472,open
4cm,0.44736823424126393,0.3116814764450886,0.6213230926591774,2025-05-05T15:06:07.747073,close
4cm,0.44736823424126393,0.3116814764450886,0.6213230926591774,2025-05-05T15:06:14.784934,open
5cm,0.4475901753698807,0.3115752432427692,0.6107387888541429,2025-05-05T15:06:19.384632,close
5cm,0.4475901753698807,0.3115752432427692,0.6107387888541429,2025-05-05T15:06:26.415994,open
