FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp,Curvature_Active,Position_cm
0.019398142,0.017107692,0.02164125,0.02116901,0.0149785,0.02028421,0.022658395,0.017728247,0.018150324,0.022011524,0.01,2025-05-02 16:08:45.844883,0,
0.020052403,0.017398132,0.022386143,0.021870127,0.015065468,0.020919833,0.02347441,0.018085683,0.018617645,0.022868369,0.01,2025-05-02 16:08:45.880907,0,
0.019869393,0.017448736,0.022420753,0.021927517,0.015087949,0.02089397,0.023481034,0.018106595,0.018605506,0.022845877,0.01,2025-05-02 16:08:45.943500,0,
0.019515175,0.017589977,0.02257569,0.021996997,0.015043376,0.021004638,0.023602512,0.018218992,0.018611312,0.022926923,0.01,2025-05-02 16:08:45.985126,0,
0.01949596,0.017502079,0.022701083,0.022156982,0.015068526,0.021126647,0.023724526,0.018210478,0.018737277,0.022973794,0.01,2025-05-02 16:08:46.027208,0,
0.019275604,0.017468117,0.022727316,0.02215073,0.01508556,0.021112757,0.023709906,0.018237816,0.018753093,0.02298811,0.01,2025-05-02 16:08:46.068466,0,
0.019203484,0.017507946,0.022694064,0.022141656,0.015109517,0.021104917,0.023734327,0.018217932,0.018757695,0.022981593,0.01,2025-05-02 16:08:46.110145,0,
0.019096162,0.01748362,0.02268456,0.022171905,0.015107038,0.021097787,0.023726802,0.018216774,0.018757308,0.022982134,0.01,2025-05-02 16:08:46.172625,0,
0.019112155,0.01747414,0.022661967,0.02218136,0.015085942,0.021096542,0.023728587,0.018203953,0.018753301,0.022982351,0.01,2025-05-02 16:08:46.213503,0,
0.01926526,0.017443677,0.022654695,0.022151558,0.015078924,0.021109847,0.02373096,0.018189631,0.018752087,0.022981709,0.01,2025-05-02 16:08:46.255948,0,
0.01941224,0.017405966,0.022667008,0.022123773,0.015101182,0.02110746,0.023747362,0.01816872,0.018739972,0.022972649,0.01,2025-05-02 16:08:46.298420,0,
0.019594302,0.017406955,0.022646151,0.02215018,0.015102798,0.021136243,0.023728333,0.01814877,0.018712092,0.022969661,0.01,2025-05-02 16:08:46.339330,0,
0.019883681,0.017397294,0.022623796,0.022127401,0.01508325,0.021120764,0.023721494,0.01816387,0.018719241,0.022982446,0.01,2025-05-02 16:08:46.380927,0,
0.019989574,0.017480033,0.022615222,0.022019684,0.015038678,0.021042649,0.023619406,0.018157177,0.0186362,0.02289527,0.01,2025-05-02 16:08:46.443540,0,
0.020183772,0.017276388,0.022414748,0.021911861,0.015063925,0.020917783,0.023440592,0.01803001,0.018668974,0.022852305,0.01,2025-05-02 16:08:46.485040,0,
0.020145733,0.017283566,0.022447277,0.021892162,0.015069723,0.020933973,0.023457812,0.018048033,0.01864923,0.022840118,0.01,2025-05-02 16:08:46.526848,0,
0.02017265,0.017292751,0.022475898,0.021906229,0.015076518,0.020915255,0.02343315,0.018016694,0.018674875,0.022869915,0.01,2025-05-02 16:08:46.568622,0,
0.020117091,0.017407311,0.022629442,0.021946177,0.015023756,0.021037005,0.023548048,0.018110704,0.018641235,0.022926476,0.01,2025-05-02 16:08:46.610181,0,
0.020345032,0.017321168,0.022744723,0.02212674,0.015087217,0.021148168,0.023685535,0.018140983,0.018739497,0.023025725,0.01,2025-05-02 16:08:46.672626,0,
0.020319125,0.017335657,0.022801628,0.022136224,0.015052903,0.021148086,0.023663485,0.01813166,0.01872715,0.023022199,0.01,2025-05-02 16:08:46.714324,0,
0.020188564,0.017343372,0.022819553,0.022087289,0.015060183,0.021117989,0.02368461,0.018147485,0.01873717,0.023008818,0.01,2025-05-02 16:08:46.755869,0,
0.019977594,0.017327111,0.022791944,0.0220864,0.015076071,0.0211315,0.023673188,0.01817797,0.018725876,0.023000635,0.01,2025-05-02 16:08:46.796978,0,
0.019797953,0.017337278,0.022800954,0.022098025,0.015059732,0.021123262,0.023678703,0.01817262,0.018710816,0.023010148,0.01,2025-05-02 16:08:46.839552,0,
0.019556573,0.017362814,0.022771986,0.022085827,0.01506317,0.021131817,0.023668015,0.018183146,0.018710623,0.023002123,0.01,2025-05-02 16:08:46.880867,0,
0.019574467,0.017352043,0.02279873,0.02207998,0.015072333,0.021122556,0.023702392,0.018173087,0.018704206,0.02299902,0.01,2025-05-02 16:08:46.943623,0,
0.01970943,0.01738218,0.022722721,0.022105202,0.015086593,0.021126356,0.023685468,0.01817419,0.018676195,0.022985723,0.01,2025-05-02 16:08:46.985184,0,
0.01978686,0.017390313,0.022702603,0.022136366,0.0150835,0.021129787,0.023682361,0.018163806,0.018682156,0.022974644,0.01,2025-05-02 16:08:47.026747,0,
0.02001952,0.017494513,0.022666836,0.022002313,0.015038521,0.021048253,0.023579812,0.018181907,0.018601492,0.022902822,0.01,2025-05-02 16:08:47.068493,0,
0.020311132,0.017311072,0.02244876,0.021927666,0.015086514,0.020909125,0.023417253,0.018090129,0.018608645,0.022824666,0.01,2025-05-02 16:08:47.110030,0,
0.020460155,0.017313508,0.022420645,0.021891918,0.015051513,0.020934848,0.023422783,0.018088987,0.01862361,0.022814143,0.01,2025-05-02 16:08:47.151880,0,
0.020524625,0.017297806,0.022427073,0.021919653,0.015036891,0.020928644,0.023403414,0.018062647,0.018660191,0.022834606,0.01,2025-05-02 16:08:47.213230,0,
0.020459738,0.017420633,0.022617526,0.021970695,0.0150173,0.021040529,0.023537746,0.018175874,0.018622022,0.0228695,0.01,2025-05-02 16:08:47.256092,0,
0.020422403,0.01732814,0.022709716,0.022105942,0.015087471,0.021126792,0.02366561,0.018228933,0.01871968,0.022984862,0.01,2025-05-02 16:08:47.297672,0,
0.020176785,0.017283795,0.022796037,0.022153307,0.015073591,0.021175385,0.023666095,0.018178955,0.018737597,0.022954453,0.01,2025-05-02 16:08:47.339532,0,
0.01988655,0.017296484,0.022777045,0.022124708,0.015050793,0.021140888,0.023681592,0.018194713,0.018759308,0.02295163,0.01,2025-05-02 16:08:47.380978,0,
0.019687612,0.01729759,0.022804672,0.022138048,0.015055065,0.021148702,0.02367527,0.018215368,0.018760465,0.022969637,0.01,2025-05-02 16:08:47.443613,0,
0.019482087,0.01728752,0.022812981,0.022119937,0.015066248,0.021132817,0.023683058,0.01821797,0.018779233,0.022970239,0.01,2025-05-02 16:08:47.485373,0,
0.019662168,0.017309943,0.022802575,0.022097772,0.015085689,0.021127578,0.023680018,0.018229986,0.018784666,0.022980962,0.01,2025-05-02 16:08:47.526116,0,
