FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp
0.01800408,0.017227074,0.021847479,0.02134811,0.015044994,0.020293772,0.022971014,0.018081095,0.018235551,0.021964911,0.05,2025-05-02T16:55:29.898938
0.018554438,0.017529922,0.022672646,0.0221374,0.015142718,0.021008229,0.023886107,0.018477455,0.018742988,0.022864314,0.05,2025-05-02T16:55:29.936568
0.018631434,0.01748527,0.02269488,0.022134768,0.015134146,0.021036016,0.02389093,0.018476222,0.018746424,0.022872668,0.05,2025-05-02T16:55:29.998969
0.018886793,0.017472772,0.022725707,0.022134101,0.015137611,0.02104512,0.023898901,0.018470956,0.018764462,0.02286427,0.05,2025-05-02T16:55:30.040579
0.019317016,0.017419279,0.02275803,0.022105722,0.015129903,0.021047134,0.023900902,0.01846022,0.01876971,0.022856938,0.05,2025-05-02T16:55:30.082218
0.019632306,0.017362753,0.022791097,0.022164715,0.015134382,0.021093184,0.02388048,0.01844175,0.018751912,0.02286061,0.05,2025-05-02T16:55:30.123917
0.019804334,0.017400602,0.022824183,0.02211055,0.015137336,0.021068787,0.023872137,0.01847389,0.01873231,0.022899903,0.05,2025-05-02T16:55:30.165622
0.019809641,0.017464282,0.022744447,0.022025509,0.015098086,0.02098085,0.023761574,0.018451279,0.018634427,0.022825373,0.05,2025-05-02T16:55:30.228080
0.020009298,0.017290208,0.02260502,0.021920241,0.015093148,0.020884424,0.023607008,0.018320082,0.018693162,0.022841295,0.05,2025-05-02T16:55:30.269720
0.02004993,0.017299626,0.022578824,0.021880971,0.015094957,0.020906199,0.02363232,0.01836239,0.018664878,0.022808818,0.05,2025-05-02T16:55:30.311198
0.020042984,0.017313937,0.022597143,0.021897925,0.015115107,0.020877052,0.02361274,0.018349092,0.01866931,0.0227999,0.05,2025-05-02T16:55:30.353183
0.019796895,0.017450446,0.022757083,0.02193857,0.015087757,0.020996813,0.023755865,0.018444639,0.018655967,0.022861246,0.05,2025-05-02T16:55:30.395026
0.019884195,0.01734336,0.022788525,0.022105034,0.015166005,0.021090778,0.023888567,0.018457873,0.018754134,0.022922607,0.05,2025-05-02T16:55:30.436500
0.020017164,0.017341308,0.022852298,0.022118162,0.015147275,0.021060303,0.023861947,0.018463064,0.018746166,0.022940736,0.05,2025-05-02T16:55:30.498788
0.020070117,0.01735109,0.022900062,0.022074772,0.015172324,0.021019854,0.023881977,0.018473512,0.01876205,0.022930574,0.05,2025-05-02T16:55:30.540440
0.020208206,0.017352914,0.022877898,0.022064248,0.015183145,0.02101275,0.023855114,0.018488333,0.018754698,0.022934923,0.05,2025-05-02T16:55:30.582382
0.020085845,0.017384926,0.022862377,0.022056758,0.015157774,0.02100907,0.023862012,0.018482123,0.018748298,0.022943355,0.05,2025-05-02T16:55:30.623746
0.020346288,0.01738939,0.02287131,0.022067457,0.015154541,0.021013265,0.023851285,0.018481782,0.018733144,0.022930332,0.05,2025-05-02T16:55:30.665712
0.020141704,0.01740969,0.022937207,0.022045605,0.0151574295,0.020995619,0.023858903,0.018469706,0.018734645,0.02290791,0.05,2025-05-02T16:55:30.728113
0.02016026,0.01741195,0.022970235,0.022068657,0.015111457,0.021007584,0.023845784,0.018465523,0.018700853,0.022921013,0.05,2025-05-02T16:55:30.769796
0.020314485,0.017446844,0.022976903,0.022046493,0.015120807,0.021016197,0.023849988,0.018459955,0.018709926,0.02293641,0.05,2025-05-02T16:55:30.812520
0.020276492,0.017581046,0.02295063,0.021909392,0.01505861,0.020943634,0.023736097,0.018457273,0.01864617,0.022877377,0.05,2025-05-02T16:55:30.852567
0.020436555,0.01740969,0.022758583,0.021767028,0.015109559,0.020811332,0.023557855,0.018349757,0.018682783,0.022822708,0.05,2025-05-02T16:55:30.894798
0.02021928,0.017424349,0.022739174,0.02171374,0.015080095,0.020851426,0.023594525,0.01837769,0.018673267,0.022808084,0.05,2025-05-02T16:55:30.936548
0.020237088,0.017427543,0.022754686,0.02171455,0.015108795,0.020835066,0.023587001,0.018365644,0.018713033,0.022848187,0.05,2025-05-02T16:55:30.999068
0.0198564,0.017605463,0.022882584,0.02175989,0.015093661,0.020940602,0.023740595,0.01846317,0.018687544,0.022882253,0.05,2025-05-02T16:55:31.040611
0.01988991,0.01751474,0.022935726,0.021904068,0.015175526,0.021016432,0.023867704,0.018513056,0.018797185,0.022958778,0.05,2025-05-02T16:55:31.080966
0.019931028,0.01748276,0.02299437,0.021936327,0.01517033,0.021052737,0.023859028,0.01849178,0.01881067,0.022931846,0.05,2025-05-02T16:55:31.123812
0.019932624,0.017520228,0.02296351,0.021984285,0.015204578,0.021017758,0.023886668,0.018498862,0.018835697,0.022920892,0.05,2025-05-02T16:55:31.165734
0.019798154,0.017535554,0.022928864,0.022050893,0.0151806995,0.021047844,0.023870809,0.01851821,0.018844431,0.022927705,0.05,2025-05-02T16:55:31.207164
0.01959169,0.017546657,0.022914562,0.022052646,0.015162432,0.021037064,0.02386878,0.018507365,0.018836953,0.022913318,0.05,2025-05-02T16:55:31.269658
0.019492881,0.017553193,0.022884207,0.022063065,0.015146993,0.02102677,0.02388235,0.01851487,0.018833052,0.02290188,0.05,2025-05-02T16:55:31.310308
