FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp
0.019152781,0.016962744,0.021851584,0.021121388,0.014569621,0.021016026,0.02234715,0.018209742,0.017966382,0.020392748,0.05,2025-05-02T17:25:18.702744
0.019710386,0.017262317,0.02274231,0.021869726,0.014611774,0.021743886,0.02318115,0.018580707,0.018412758,0.021235572,0.05,2025-05-02T17:25:18.735866
0.0198192,0.017330755,0.022781586,0.021818167,0.014606558,0.021732628,0.023228154,0.018567305,0.018425273,0.021225207,0.05,2025-05-02T17:25:18.797576
0.019887641,0.017379036,0.022717968,0.021833329,0.014623078,0.021734735,0.023224868,0.018567622,0.01839724,0.021220721,0.05,2025-05-02T17:25:18.839556
0.019896165,0.017400231,0.02272782,0.021843208,0.014605595,0.021737443,0.023219923,0.01855131,0.018333387,0.021211164,0.05,2025-05-02T17:25:18.881384
0.019782886,0.017378919,0.022702457,0.021827357,0.014621754,0.021742618,0.023195893,0.018586306,0.018356683,0.021159545,0.05,2025-05-02T17:25:18.922350
0.019678267,0.017341247,0.022687921,0.021817511,0.014621841,0.021709608,0.023222763,0.018589308,0.018327756,0.021126125,0.05,2025-05-02T17:25:18.965258
0.019557372,0.017314542,0.022668097,0.02185636,0.014620953,0.021706179,0.02321051,0.018624503,0.018301079,0.021081604,0.05,2025-05-02T17:25:19.027530
0.019362193,0.017268403,0.02264864,0.021864893,0.0146488175,0.021709213,0.023211366,0.01861263,0.018211108,0.021040574,0.05,2025-05-02T17:25:19.069342
0.018991495,0.017345166,0.022603102,0.02173261,0.014618786,0.021631941,0.023115188,0.018587701,0.018116102,0.020946765,0.05,2025-05-02T17:25:19.110936
0.018866738,0.017165268,0.022390403,0.021634787,0.01467053,0.021473648,0.02295138,0.018444069,0.018071614,0.020872282,0.05,2025-05-02T17:25:19.153159
0.018889103,0.017171241,0.02235848,0.021587247,0.014609574,0.021496795,0.022976777,0.018418528,0.018112151,0.020822303,0.05,2025-05-02T17:25:19.194443
0.018838705,0.01718757,0.022344181,0.02159803,0.014634961,0.021473179,0.022949396,0.018357731,0.018103683,0.020824492,0.05,2025-05-02T17:25:19.235870
0.018854544,0.01738128,0.02250402,0.021652412,0.014619577,0.021597095,0.023068683,0.01841436,0.018068729,0.0208287,0.05,2025-05-02T17:25:19.298763
0.019198077,0.01728791,0.022552738,0.02178214,0.014657226,0.021683227,0.023212552,0.018443463,0.018092806,0.020904152,0.05,2025-05-02T17:25:19.340364
0.019446867,0.017313402,0.022694968,0.021813286,0.01460597,0.021728063,0.023212189,0.018384097,0.01813476,0.020817695,0.05,2025-05-02T17:25:19.381743
0.01952481,0.01735425,0.022771887,0.021761473,0.014597792,0.021694053,0.023223659,0.01841693,0.01816257,0.020825543,0.05,2025-05-02T17:25:19.423659
0.019706212,0.017339747,0.022748355,0.021754995,0.014592492,0.02172071,0.023195485,0.018469531,0.018163607,0.02083167,0.05,2025-05-02T17:25:19.465009
0.019911282,0.017312858,0.022759551,0.021737013,0.014616906,0.021707518,0.023215273,0.018528393,0.018186059,0.020830264,0.05,2025-05-02T17:25:19.527773
0.02001212,0.01734081,0.022749797,0.021753121,0.014663262,0.021706503,0.02320544,0.018552253,0.018208269,0.02080659,0.05,2025-05-02T17:25:19.569373
0.019950494,0.017327076,0.02276728,0.021750733,0.014676752,0.021703899,0.023227988,0.018544313,0.018137734,0.020809785,0.05,2025-05-02T17:25:19.611303
0.019733086,0.017319186,0.02273493,0.021747975,0.0146574965,0.021732543,0.023228247,0.018586088,0.018180106,0.020801889,0.05,2025-05-02T17:25:19.651816
0.019480294,0.017280327,0.022712803,0.021737052,0.01467031,0.021794092,0.023219958,0.018623497,0.018124744,0.020791512,0.05,2025-05-02T17:25:19.694105
0.0190612,0.017424041,0.0226098,0.021618206,0.0146269165,0.021699974,0.023131756,0.018699571,0.018022366,0.020749548,0.05,2025-05-02T17:25:19.735565
0.018959334,0.017247105,0.022535492,0.02157339,0.0146739865,0.021540958,0.022985367,0.018666444,0.017983874,0.02062734,0.05,2025-05-02T17:25:19.798358
0.018836329,0.017211542,0.022452721,0.021515071,0.014615163,0.021586623,0.022972485,0.018563781,0.018055238,0.020687487,0.05,2025-05-02T17:25:19.840346
0.019011898,0.017197074,0.022426927,0.021542385,0.014621789,0.021593109,0.02295926,0.018555816,0.018071288,0.02067911,0.05,2025-05-02T17:25:19.881939
0.018999482,0.017310265,0.02249639,0.021607826,0.014584104,0.021637939,0.02305127,0.018627416,0.01793939,0.020698396,0.05,2025-05-02T17:25:19.922663
0.019197583,0.017287422,0.022609908,0.021706266,0.014627819,0.021730935,0.023181822,0.018676158,0.018004974,0.020820264,0.05,2025-05-02T17:25:19.965271
0.019373279,0.0172249,0.022743477,0.02180956,0.014617146,0.021808486,0.023223301,0.018530749,0.018073613,0.02077088,0.05,2025-05-02T17:25:20.006940
0.019576019,0.017230267,0.02281036,0.021756954,0.014623393,0.021736309,0.02324281,0.018532632,0.01808795,0.020754915,0.05,2025-05-02T17:25:20.069452
0.019608561,0.017214017,0.022798657,0.021765245,0.014646624,0.021749873,0.023225449,0.018513128,0.018037269,0.020780478,0.05,2025-05-02T17:25:20.110393
0.019597977,0.01721739,0.022774283,0.021804567,0.014607874,0.02173619,0.023222156,0.018508863,0.018027864,0.020770125,0.05,2025-05-02T17:25:20.152073
0.019437116,0.017237604,0.022780703,0.021803865,0.0146125415,0.021718694,0.02322587,0.018551772,0.018068835,0.0207665,0.05,2025-05-02T17:25:20.193812
0.019351365,0.01720165,0.02278364,0.021807669,0.014612875,0.021729857,0.023216747,0.018558534,0.018150967,0.020786598,0.05,2025-05-02T17:25:20.235604
0.019103315,0.017187957,0.022781776,0.02181196,0.014596301,0.021714203,0.023225471,0.018549005,0.018189117,0.020829838,0.05,2025-05-02T17:25:20.298370
0.019137155,0.017219506,0.022746881,0.021837043,0.01459882,0.021752406,0.023218201,0.018605832,0.018218385,0.020845458,0.05,2025-05-02T17:25:20.340235
0.01900971,0.017292775,0.022749113,0.021771125,0.014579103,0.02168677,0.023165014,0.018660786,0.01818597,0.020859504,0.05,2025-05-02T17:25:20.381889
0.019265724,0.017247124,0.022575902,0.021727383,0.014611516,0.02156114,0.023038436,0.018639063,0.018141992,0.020738237,0.05,2025-05-02T17:25:20.423365
0.019413708,0.017110704,0.022456594,0.021626594,0.014613079,0.02152077,0.022947567,0.018513983,0.018273167,0.020829448,0.05,2025-05-02T17:25:20.465072
0.019445045,0.01715315,0.022460837,0.021646524,0.014612688,0.021499183,0.02295263,0.018531002,0.018312166,0.020868827,0.05,2025-05-02T17:25:20.507165
0.019508362,0.01724833,0.0225371,0.021698544,0.014641281,0.021509366,0.023006909,0.018621605,0.018292839,0.020827433,0.05,2025-05-02T17:25:20.567684
0.019303173,0.017349875,0.022624446,0.02174462,0.014582096,0.021577382,0.023137981,0.018696675,0.018323584,0.020983253,0.05,2025-05-02T17:25:20.610727
0.019271575,0.017245313,0.022729184,0.02188917,0.01461441,0.021667622,0.023235379,0.018670723,0.018446973,0.021027423,0.05,2025-05-02T17:25:20.651558
0.019178445,0.017269071,0.022746777,0.021829758,0.014613058,0.02162937,0.02324398,0.018687315,0.018412001,0.02107859,0.05,2025-05-02T17:25:20.694156
0.019282429,0.017205484,0.022774614,0.021839673,0.014656326,0.021598505,0.02325951,0.018636681,0.018334525,0.021050073,0.05,2025-05-02T17:25:20.736147
0.019520402,0.01723278,0.022758724,0.021848988,0.014634111,0.021579867,0.023241442,0.018612048,0.018320654,0.021059215,0.05,2025-05-02T17:25:20.777695
0.019649966,0.017193297,0.022754021,0.021831023,0.014633629,0.021612918,0.023239225,0.018566914,0.018326847,0.021052074,0.05,2025-05-02T17:25:20.840394
0.019707888,0.017211873,0.022740293,0.021819664,0.014634955,0.021585189,0.023247493,0.018501075,0.018290166,0.021078134,0.05,2025-05-02T17:25:20.881927
0.019829627,0.017157206,0.022740133,0.021810474,0.014662512,0.021555148,0.023260774,0.018420719,0.018280229,0.02107647,0.05,2025-05-02T17:25:20.923076
0.019887945,0.017175384,0.02269989,0.02182397,0.014678247,0.021621402,0.023242366,0.018425135,0.01825507,0.021081783,0.05,2025-05-02T17:25:20.963926
0.020031596,0.017240016,0.022670629,0.021775473,0.014674764,0.021586828,0.023219591,0.018453445,0.018205881,0.02112225,0.05,2025-05-02T17:25:21.006869
0.019779889,0.017325798,0.02259363,0.02169136,0.014637319,0.021532882,0.023114044,0.018442238,0.01816746,0.021001164,0.05,2025-05-02T17:25:21.069543
0.019545957,0.017187944,0.022451669,0.021573255,0.014603756,0.021409273,0.022976866,0.018340422,0.01821679,0.020970108,0.05,2025-05-02T17:25:21.110988
0.019214341,0.017193373,0.022493483,0.021539053,0.014607606,0.021391891,0.023001902,0.018446973,0.018119592,0.020941798,0.05,2025-05-02T17:25:21.152611
0.018820308,0.017162947,0.022506943,0.021555835,0.014660656,0.02136505,0.022989364,0.018470058,0.018068464,0.020939259,0.05,2025-05-02T17:25:21.194350
0.01857612,0.017281942,0.022575803,0.021625096,0.014603379,0.02149301,0.023129003,0.0185715,0.018036991,0.020964898,0.05,2025-05-02T17:25:21.236075
0.01870263,0.01718001,0.022674078,0.021801116,0.014639962,0.021619603,0.023278533,0.018552419,0.018201703,0.02103536,0.05,2025-05-02T17:25:21.277585
0.018735934,0.017210357,0.022710636,0.021772608,0.0146227665,0.02159928,0.023265725,0.01853392,0.01810669,0.0210442,0.05,2025-05-02T17:25:21.340135
0.018774573,0.017218646,0.022723041,0.02175389,0.014637236,0.021595074,0.023298284,0.018515954,0.018164303,0.021052988,0.05,2025-05-02T17:25:21.381486
0.01886576,0.017233983,0.022721697,0.021765415,0.014616516,0.021610076,0.023300553,0.018500937,0.018180162,0.021027245,0.05,2025-05-02T17:25:21.421934
0.01909622,0.017283304,0.02268766,0.021773575,0.014615705,0.021618275,0.023313226,0.018472873,0.018200278,0.021053333,0.05,2025-05-02T17:25:21.464591
0.01936223,0.017231774,0.022748018,0.021742333,0.014650713,0.02165082,0.023309434,0.018451925,0.01823346,0.021042824,0.05,2025-05-02T17:25:21.506550
0.019494778,0.01718893,0.022744894,0.021722173,0.014602163,0.021644069,0.023309583,0.018437983,0.018202694,0.021083377,0.05,2025-05-02T17:25:21.548546
0.019625098,0.017092675,0.02269111,0.021764353,0.014618929,0.021667216,0.023288341,0.018468227,0.018222112,0.021099484,0.05,2025-05-02T17:25:21.609443
0.019451238,0.017103892,0.022699794,0.021762993,0.014647481,0.021683525,0.023302244,0.018521246,0.018195188,0.02113353,0.05,2025-05-02T17:25:21.652859
0.019486686,0.017229922,0.022721307,0.021613603,0.014588809,0.021614695,0.02317857,0.018559247,0.018085875,0.021124933,0.05,2025-05-02T17:25:21.694228
0.019241145,0.017083976,0.022538612,0.021555103,0.014624071,0.021466503,0.023016898,0.01850349,0.018030534,0.021062015,0.05,2025-05-02T17:25:21.736173
0.01908559,0.017109053,0.022553815,0.021524573,0.014636872,0.021488544,0.02304062,0.018545434,0.01798152,0.021036116,0.05,2025-05-02T17:25:21.777738
0.018788522,0.01711936,0.022576796,0.021543495,0.014647924,0.02145616,0.023022955,0.01853975,0.018033344,0.02105801,0.05,2025-05-02T17:25:21.840249
0.01839657,0.017225415,0.022723608,0.02161897,0.014579645,0.021565175,0.023150992,0.01863158,0.01803952,0.021125726,0.05,2025-05-02T17:25:21.880467
0.018295038,0.017180504,0.02279011,0.02177769,0.01465067,0.02164153,0.023286758,0.01863567,0.018144881,0.021196606,0.05,2025-05-02T17:25:21.922219
0.018071767,0.017147332,0.022766698,0.021793017,0.014629067,0.021682309,0.023251137,0.018577097,0.018195184,0.021177623,0.05,2025-05-02T17:25:21.965265
0.01794048,0.017181434,0.022756899,0.021765405,0.014618069,0.021630425,0.023296356,0.018568112,0.018268088,0.021176578,0.05,2025-05-02T17:25:22.006897
0.017846648,0.017129604,0.022785326,0.021791365,0.0146365985,0.021628233,0.023289246,0.0184988,0.01828754,0.02115468,0.05,2025-05-02T17:25:22.048490
0.01810621,0.017207775,0.02274719,0.021829102,0.01462511,0.02160644,0.023277894,0.018458162,0.01829069,0.021150712,0.05,2025-05-02T17:25:22.110885
0.018201228,0.01720464,0.02274313,0.02182727,0.014642611,0.021607717,0.023274448,0.018459577,0.018297402,0.021131601,0.05,2025-05-02T17:25:22.152454
0.018425666,0.017216066,0.022758676,0.021794569,0.014631353,0.021573443,0.023284717,0.018453456,0.01830791,0.02115188,0.05,2025-05-02T17:25:22.194429
0.018614821,0.017205965,0.022742374,0.021810245,0.014636869,0.021537354,0.023265313,0.018422632,0.01830166,0.021175746,0.05,2025-05-02T17:25:22.236021
0.018811136,0.01724336,0.022714484,0.02184397,0.014654027,0.021578072,0.023245087,0.018416231,0.018317975,0.021175293,0.05,2025-05-02T17:25:22.277542
