Section,PosX,PosY,PosZ,Timestamp,Clamp
0cm,0.44655070261136726,0.3113083690168107,0.6637201149339907,2025-05-15T15:40:12.285615,close
0cm,0.44655070261136726,0.3113083690168107,0.6637201149339907,2025-05-15T15:40:19.317090,open
1cm,0.44677011078284495,0.31142258171911424,0.6531174730160458,2025-05-15T15:40:23.913478,close
1cm,0.44677011078284495,0.31142258171911424,0.6531174730160458,2025-05-15T15:40:30.934849,open
2cm,0.44704285411607514,0.31150821525057815,0.6423913210488286,2025-05-15T15:40:35.544083,close
2cm,0.44704285411607514,0.31150821525057815,0.6423913210488286,2025-05-15T15:40:42.583513,open
3cm,0.4473317684591406,0.3115703309050805,0.6318732108975627,2025-05-15T15:40:47.181465,close
3cm,0.4473317684591406,0.3115703309050805,0.6318732108975627,2025-05-15T15:40:54.218928,open
4cm,0.44758052326672704,0.3116276038611052,0.6212449549701925,2025-05-15T15:40:58.817649,close
4cm,0.44758052326672704,0.3116276038611052,0.6212449549701925,2025-05-15T15:41:05.851228,open
5cm,0.44793367476615753,0.31162564545768046,0.6106345569970221,2025-05-15T15:41:10.449966,close
5cm,0.44793367476615753,0.31162564545768046,0.6106345569970221,2025-05-15T15:41:17.478209,open
