Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.9393530997304582,0.9393740711600665,,0.9392651190456972,0.3347797393798828
RandomForestClassifier,0.9245283018867925,0.9245781973948772,,0.9242934720024932,0.8930068016052246
LGBMClassifier,0.9245283018867925,0.9245563423376169,,0.9245231857559193,0.557898759841919
BaggingClassifier,0.8773584905660378,0.8774149838272577,,0.8767468676654901,0.2466588020324707
DecisionTreeClassifier,0.8436657681940701,0.8437581956464726,,0.8439371708201371,0.05131840705871582
LabelPropagation,0.8032345013477089,0.803238919485969,,0.8031682683291075,0.2566370964050293
LabelSpreading,0.7951482479784366,0.7951416207710466,,0.7952869747502601,0.3163783550262451
KNeighborsClassifier,0.7776280323450134,0.7776575749628463,,0.7768938771537951,0.05341672897338867
ExtraTreeClassifier,0.7776280323450134,0.7776357199055862,,0.7775029647514973,0.01566290855407715
NuSVC,0.6401617250673854,0.6403203951394352,,0.6356969277689619,0.4906501770019531
SVC,0.6145552560646901,0.6148264708453536,,0.6136287222525758,0.4075610637664795
QuadraticDiscriminantAnalysis,0.49865229110512127,0.49889631960835734,,0.49316430524388394,0.013443946838378906
AdaBoostClassifier,0.42452830188679247,0.42482953055337,,0.3945043914162919,0.36260366439819336
CalibratedClassifierCV,0.4056603773584906,0.40615438412448635,,0.38433970667423517,0.18260526657104492
LogisticRegression,0.4056603773584906,0.406121601538596,,0.3845016305798991,0.05572700500488281
LinearSVC,0.39892183288409705,0.39945580907421974,,0.3754644989482242,0.03423905372619629
SGDClassifier,0.38274932614555257,0.38319564647259385,,0.3597770900174173,0.06980371475219727
RidgeClassifierCV,0.33827493261455527,0.33879709764839583,,0.3131792682693989,0.01763319969177246
RidgeClassifier,0.3328840970350404,0.33343168109100446,,0.3081749354500672,0.017340421676635742
LinearDiscriminantAnalysis,0.330188679245283,0.3305140309467611,,0.326064774530635,0.015508890151977539
NearestCentroid,0.29649595687331537,0.29690095288049656,,0.2341554183088985,0.013544797897338867
Perceptron,0.284366576819407,0.2847823236296879,,0.23284580431480698,0.022533416748046875
GaussianNB,0.27628032345013476,0.2767178075006556,,0.2250093417058409,0.014008283615112305
PassiveAggressiveClassifier,0.26549865229110514,0.2656372934697089,,0.25435064487483267,0.02357196807861328
BernoulliNB,0.25202156334231807,0.2521417956115045,,0.23212011642821823,0.015379667282104492
DummyClassifier,0.16576819407008087,0.16666666666666666,,0.0471433245563467,0.010086297988891602
