FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp,Curvature_Active,Position_cm
0.0021915473,0.0018668307,0.0025167358,0.0024354483,0.0017837121,0.002368427,0.0026731144,0.0022386792,0.0022992578,0.0021425842,0.0,2025-05-05 15:05:08.273958,0,
0.0022594589,0.0019083169,0.0025970389,0.0025123784,0.0018157249,0.0024569563,0.00276898,0.0023064201,0.0023340783,0.0022277955,0.0,2025-05-05 15:05:08.310108,0,
0.0022335108,0.0019080184,0.0026005874,0.002507673,0.001793227,0.0024728638,0.0027820454,0.0023142344,0.0023494377,0.0022476015,0.0,2025-05-05 15:05:08.372925,0,
0.0022439307,0.001942056,0.0026167335,0.0025312149,0.0017667736,0.0025050098,0.0027891332,0.002300351,0.0023653293,0.0022747987,0.0,2025-05-05 15:05:08.413433,0,
0.002300103,0.0019496897,0.0026310002,0.0025400764,0.0017535769,0.0025059246,0.0027670474,0.0022765207,0.0023494693,0.0022808928,0.0,2025-05-05 15:05:08.454292,0,
0.0023103124,0.0019566393,0.0026505368,0.002529804,0.0017335931,0.0024989939,0.002748387,0.0022073705,0.00231651,0.0022927502,0.0,2025-05-05 15:05:08.497653,0,
0.002290837,0.0020039664,0.0026471317,0.0025498867,0.0017267546,0.002480309,0.0027602934,0.0021553966,0.0023006594,0.002308185,0.0,2025-05-05 15:05:08.539306,0,
0.002348799,0.0020326858,0.0026718928,0.0025626174,0.0017321568,0.0024701126,0.0027534754,0.0021500112,0.0022970552,0.0023133093,0.0,2025-05-05 15:05:08.601808,0,
0.0022792707,0.0020579088,0.0026651327,0.0025847834,0.001742092,0.002471449,0.0027475916,0.0021645813,0.0023103624,0.002303936,0.0,2025-05-05 15:05:08.643396,0,
0.0022772735,0.0020973207,0.0026834563,0.0025847282,0.0017557271,0.00246922,0.0027591027,0.0021415572,0.002338692,0.0022886894,0.0,2025-05-05 15:05:08.685175,0,
0.0022836311,0.0020804359,0.0026713617,0.0025870341,0.00178218,0.0024717157,0.0027518498,0.0021299592,0.0023278852,0.0022760169,0.0,2025-05-05 15:05:08.726280,0,
0.0022339195,0.0020368274,0.0026706306,0.0025786243,0.001788241,0.0024462838,0.0027590534,0.0021638372,0.0023435226,0.0022856507,0.0,2025-05-05 15:05:08.768400,0,
0.0022065833,0.0020370856,0.0026761098,0.0025598442,0.001762256,0.0024342418,0.0027409613,0.0021441958,0.002336726,0.0022769307,0.0,2025-05-05 15:05:08.810113,0,
0.0021786843,0.0020235484,0.0026587434,0.0025227172,0.001760533,0.0024184857,0.0027193828,0.0021455802,0.002330732,0.00223832,0.0,2025-05-05 15:05:08.871696,0,
0.002242525,0.0020011973,0.002659889,0.0025504425,0.0017645776,0.0023958131,0.002730423,0.0021951033,0.002315097,0.0022377516,0.0,2025-05-05 15:05:08.914365,0,
0.002290107,0.0019555003,0.0026553953,0.0025382913,0.0017686578,0.002379317,0.0027333437,0.0022228349,0.002289655,0.0022681968,0.0,2025-05-05 15:05:08.955964,0,
0.0022515329,0.0019914343,0.0026852353,0.002533849,0.0017544832,0.0023774833,0.0027545139,0.002214948,0.0023102595,0.002265515,0.0,2025-05-05 15:05:08.997756,0,
0.0022456988,0.0019362774,0.0026869448,0.0025407735,0.0017722797,0.0023857139,0.0027745052,0.0022042869,0.0022993605,0.0022626652,0.0,2025-05-05 15:05:09.038059,0,
0.0023024355,0.0019067145,0.0027198882,0.002534753,0.001742299,0.0023634147,0.0027742013,0.0022408045,0.0023081596,0.0022570314,0.0,2025-05-05 15:05:09.101865,0,
0.002292216,0.0019390221,0.0027351605,0.0025278986,0.0017176862,0.002378708,0.00277275,0.0022634538,0.0023194123,0.002290116,0.0,2025-05-05 15:05:09.143572,0,
0.0023157767,0.0019647768,0.0027323405,0.0025163547,0.0017125384,0.0023682523,0.0027682702,0.0022381176,0.0023158053,0.0022764867,0.0,2025-05-05 15:05:09.185527,0,
0.0023043873,0.0019526192,0.0027158575,0.0025298842,0.0017109142,0.0023736595,0.0027636525,0.0022277161,0.0023377608,0.0022592945,0.0,2025-05-05 15:05:09.225905,0,
0.0022481359,0.0019431614,0.002693253,0.002538404,0.0017062611,0.0023874333,0.0027537127,0.0022068867,0.0023580329,0.0022373637,0.0,2025-05-05 15:05:09.268612,0,
0.002270382,0.0019461426,0.0026833657,0.002542056,0.001730806,0.0023892594,0.002768799,0.0021902074,0.002376385,0.00226082,0.0,2025-05-05 15:05:09.310347,0,
0.0022321853,0.0019536125,0.002695767,0.00253184,0.0017632922,0.002386884,0.002778105,0.0022072007,0.0023797604,0.0022573743,0.0,2025-05-05 15:05:09.372599,0,
0.0022391398,0.001927066,0.002688634,0.0025282004,0.0017988168,0.0023771038,0.002772401,0.0021756617,0.0023732877,0.0022254705,0.0,2025-05-05 15:05:09.414219,0,
0.0022674324,0.001960322,0.0026654215,0.0024967568,0.0018120182,0.0023664273,0.0027561174,0.0021653892,0.0023703906,0.0022288605,0.0,2025-05-05 15:05:09.455886,0,
0.0023109291,0.0019206742,0.002611521,0.0024952986,0.0018434221,0.0023549197,0.0027328744,0.0021536495,0.0023668176,0.0022058715,0.0,2025-05-05 15:05:09.497569,0,
0.002273845,0.0019206236,0.0025958375,0.0024936018,0.0018266792,0.0023567171,0.0027396611,0.0021544918,0.002337471,0.0022200344,0.0,2025-05-05 15:05:09.539068,0,
0.0022493252,0.0019329335,0.0026090157,0.0024949743,0.0018046792,0.0023522987,0.0027472947,0.0021613466,0.0023441785,0.0022239024,0.0,2025-05-05 15:05:09.580916,0,
0.0022818292,0.001984091,0.0026117165,0.0025064396,0.0017833371,0.0023553614,0.002758615,0.0021723364,0.002322621,0.0022412469,0.0,2025-05-05 15:05:09.644004,0,
0.0022970492,0.0019976671,0.002625852,0.0025212571,0.0017886492,0.0023578065,0.0027646031,0.0021424904,0.0023232794,0.0022578854,0.0,2025-05-05 15:05:09.684074,0,
0.0022323881,0.0020129804,0.0026188283,0.002527808,0.0017772679,0.0023926068,0.0027826258,0.002105564,0.0022926119,0.0022512372,0.0,2025-05-05 15:05:09.726802,0,
0.0022274118,0.0020415995,0.0026114578,0.002513401,0.0017639968,0.0023949204,0.002785507,0.0021363362,0.0023109098,0.0022488583,0.0,2025-05-05 15:05:09.767887,0,
0.0022716573,0.0020137539,0.0025755852,0.0025319248,0.0017748158,0.002406178,0.0027857844,0.0021799386,0.002319492,0.002250422,0.0,2025-05-05 15:05:09.810349,0,
0.0022576514,0.001997692,0.002594319,0.0025395541,0.0017755877,0.0024075662,0.0027877244,0.002156064,0.0023314327,0.0022618917,0.0,2025-05-05 15:05:09.872694,0,
0.002240399,0.0020168182,0.002596622,0.0025350677,0.0017887431,0.0024130135,0.0027874468,0.002158832,0.0023274198,0.0022392974,0.0,2025-05-05 15:05:09.914268,0,
0.002224907,0.0019824265,0.0026161661,0.0025370012,0.0018028963,0.002434949,0.0027971035,0.0021352682,0.0023480551,0.0022451316,0.0,2025-05-05 15:05:09.956121,0,
0.0022166776,0.0019641488,0.0026070608,0.0025352798,0.0018067826,0.0024068628,0.0028022951,0.0021433656,0.0023345656,0.002246651,0.0,2025-05-05 15:05:09.996578,0,
0.002174372,0.0019380202,0.002578068,0.0025241736,0.001809838,0.0024181043,0.0027949754,0.0021566038,0.0023529055,0.0022505822,0.0,2025-05-05 15:05:10.038606,0,
0.0022229534,0.0019204888,0.0025763328,0.002525739,0.0018029922,0.0024400302,0.0027925407,0.0021857186,0.0023545127,0.0022472374,0.0,2025-05-05 15:05:10.080280,0,
0.002220491,0.0019292171,0.0025614714,0.0024879826,0.0017894438,0.0024124738,0.0027856866,0.0021510692,0.002336234,0.0022190036,0.0,2025-05-05 15:05:10.142131,0,
0.0022837957,0.0019042743,0.0025846856,0.0024616944,0.0017932665,0.0023973463,0.0027958422,0.0021234378,0.0023061936,0.002239092,0.0,2025-05-05 15:05:10.185176,0,
0.0022858197,0.0019492748,0.0026161224,0.0024578902,0.001784121,0.0023876054,0.0027763816,0.0021508674,0.0023015984,0.002244515,0.0,2025-05-05 15:05:10.225966,0,
0.0023167143,0.0019366326,0.0026432457,0.0024452447,0.0017960764,0.0024084656,0.0027917465,0.0021712845,0.0023309707,0.002235931,0.0,2025-05-05 15:05:10.268434,0,
0.0023283046,0.001926238,0.0026290747,0.002460337,0.0018017351,0.0024058723,0.0028069245,0.0021954044,0.002329404,0.0022399514,0.0,2025-05-05 15:05:10.310356,0,
0.002359448,0.0019755922,0.0026425116,0.002479841,0.0018037104,0.0024030271,0.0027998928,0.0021974163,0.0023298017,0.002249387,0.0,2025-05-05 15:05:10.351877,0,
0.0023800915,0.0019749233,0.0026759778,0.002482737,0.0018026708,0.0023854952,0.0028046437,0.00219182,0.0023410926,0.0022690864,0.0,2025-05-05 15:05:10.413763,0,
0.002293703,0.0019817052,0.002681218,0.0024941128,0.0018107758,0.0023968162,0.0027824107,0.002203956,0.0023523364,0.0022832963,0.0,2025-05-05 15:05:10.456028,0,
0.002277634,0.0019767235,0.0027080604,0.0025080906,0.0018032613,0.0023915404,0.0027811094,0.0022056047,0.0023476873,0.0022520795,0.0,2025-05-05 15:05:10.497626,0,
0.0021639855,0.001967387,0.0027284108,0.0025183528,0.0017953201,0.0023905893,0.0027827749,0.00219489,0.0023364983,0.002236624,0.0,2025-05-05 15:05:10.539810,0,
0.0021300365,0.0019835655,0.0027190764,0.0025439225,0.0017674285,0.002400677,0.0027755687,0.002209202,0.0023338068,0.0022480674,0.0,2025-05-05 15:05:10.580920,0,
0.0021628432,0.0019494118,0.0027005533,0.0025438685,0.0017828027,0.0024023722,0.0027651973,0.00224335,0.002334218,0.0022560435,0.0,2025-05-05 15:05:10.643659,0,
0.0022101374,0.0019476756,0.0026730564,0.0025409649,0.001786641,0.0023830647,0.0027549348,0.002228402,0.0023250564,0.0022508695,0.0,2025-05-05 15:05:10.685085,0,
0.0021862732,0.0019495429,0.0026480253,0.0025334714,0.0017945693,0.002398712,0.0027338935,0.0022179512,0.002322502,0.0022544325,0.0,2025-05-05 15:05:10.727008,0,
0.002210297,0.0019328165,0.0026374639,0.0025363453,0.0017792904,0.002398695,0.002714619,0.002236586,0.0023134116,0.0022158779,0.0,2025-05-05 15:05:10.768756,0,
0.0022520942,0.0019193186,0.0026150148,0.002521627,0.0017555889,0.0024065578,0.0026941625,0.0022122874,0.0023026585,0.0022222314,0.0,2025-05-05 15:05:10.808635,0,
0.002329814,0.0019132219,0.0025973185,0.0025495833,0.0017403824,0.0024007424,0.0026959714,0.0021952179,0.0023335905,0.0022160683,0.0,2025-05-05 15:05:10.850864,0,
0.0023314569,0.0019454036,0.002604586,0.0025428801,0.0017431449,0.0023973482,0.0027179653,0.0021890893,0.002300841,0.002197061,0.0,2025-05-05 15:05:10.914321,0,
0.0023572636,0.0019630352,0.0025893159,0.0025633401,0.0017333111,0.002405961,0.0027292846,0.002152088,0.0023105887,0.002218031,0.0,2025-05-05 15:05:10.955132,0,
0.0023491303,0.001947978,0.0026014412,0.002560502,0.0017331631,0.0024132722,0.0027441024,0.0021146205,0.0023414004,0.002246585,0.0,2025-05-05 15:05:10.997318,0,
0.0023467352,0.0019793448,0.002610659,0.00255524,0.0017499496,0.0024077652,0.002740081,0.0021350367,0.002364852,0.0022622363,0.0,2025-05-05 15:05:11.038601,0,
0.00233671,0.0020068462,0.0026442313,0.002555435,0.0017843731,0.0024036027,0.0027510445,0.0021358745,0.0023720085,0.0022520206,0.0,2025-05-05 15:05:11.079311,0,
0.0023693854,0.0020122111,0.0026480726,0.002551235,0.0018026975,0.0023956487,0.0027561919,0.002166266,0.0024155632,0.0022486723,0.0,2025-05-05 15:05:11.122708,0,
0.0023483436,0.0020066286,0.0026688967,0.0025409355,0.0017981882,0.002386189,0.002768994,0.0021425849,0.0024087613,0.002241455,0.0,2025-05-05 15:05:11.184072,0,
0.002414099,0.001975753,0.0026815888,0.002544954,0.0017764742,0.0023555493,0.0027772116,0.0021272958,0.002418993,0.0022724965,0.0,2025-05-05 15:05:11.226812,0,
0.0024140347,0.0019582182,0.0026773897,0.002545002,0.0017577469,0.0023363126,0.0027788065,0.0021024446,0.0024057163,0.002279408,0.0,2025-05-05 15:05:11.268445,0,
0.0024305906,0.0019460655,0.0026790304,0.0025690226,0.0017347754,0.002341262,0.0027855865,0.0020808647,0.0023938264,0.0022975658,0.0,2025-05-05 15:05:11.310109,0,
0.0023892606,0.0019658334,0.0026621714,0.0025398673,0.0017204722,0.0023460828,0.0027777331,0.0020715892,0.0023774295,0.0022967877,0.0,2025-05-05 15:05:11.351756,0,
0.0024068125,0.001965126,0.0026473321,0.0024965124,0.0017171359,0.0023314669,0.002777514,0.002079329,0.0023640757,0.0022885036,0.0,2025-05-05 15:05:11.414306,0,
0.0023804216,0.0019394008,0.002604246,0.0025005394,0.0017223874,0.0023061726,0.0027562662,0.0020804626,0.0023543336,0.0022878996,0.0,2025-05-05 15:05:11.454912,0,
0.002421677,0.0019368349,0.0026075456,0.002503516,0.0017639932,0.00230114,0.002752889,0.0021095313,0.0023172614,0.0022945707,0.0,2025-05-05 15:05:11.497546,0,
0.0023882927,0.0019796514,0.0025938042,0.0025073146,0.0018036622,0.0023189741,0.0027466351,0.0021462853,0.0023176179,0.002276371,0.0,2025-05-05 15:05:11.539178,0,
0.0023377833,0.001968009,0.0026044457,0.002514122,0.0018080645,0.0023248554,0.0027773913,0.0021834937,0.002312484,0.0022880784,0.0,2025-05-05 15:05:11.580914,0,
0.002312988,0.0019736243,0.002608965,0.002545717,0.0018030343,0.0023504524,0.0027816268,0.0021850653,0.0023334334,0.0023013793,0.0,2025-05-05 15:05:11.622668,0,
0.0022250386,0.0019701205,0.0026163822,0.002518752,0.0017955073,0.0023423084,0.0027903991,0.0021643774,0.0023320445,0.002313398,0.0,2025-05-05 15:05:11.685181,0,
0.0022324077,0.0019889649,0.0026207585,0.0025404848,0.0017840473,0.0023330962,0.0027867658,0.002169157,0.002346825,0.0023034415,0.0,2025-05-05 15:05:11.726905,0,
0.002304846,0.0020063734,0.0026169098,0.0025538697,0.001758533,0.0023330422,0.0027705156,0.002182993,0.0023541248,0.0023025887,0.0,2025-05-05 15:05:11.768525,0,
0.0023168204,0.0019920971,0.002616861,0.0025457924,0.0017345141,0.0023284967,0.0027806326,0.0021906367,0.0023419664,0.0023184745,0.0,2025-05-05 15:05:11.810394,0,
0.0022843012,0.0019644112,0.0026341456,0.0025442948,0.001740705,0.002306843,0.0027753816,0.002187388,0.0023653242,0.0023014157,0.0,2025-05-05 15:05:11.851748,0,
0.0021976815,0.0019849495,0.002644349,0.0025475968,0.0017502231,0.00233308,0.0027914476,0.0021764063,0.0023570512,0.0022958564,0.0,2025-05-05 15:05:11.893577,0,
0.0021495936,0.001957368,0.0026402602,0.0025563515,0.001778162,0.0023493306,0.0027893651,0.0021541037,0.0023722942,0.0022830705,0.0,2025-05-05 15:05:11.955090,0,
0.0020937782,0.0019747005,0.0026423226,0.0025501242,0.001785733,0.0023632534,0.0027807972,0.00210139,0.0023800747,0.0023050366,0.0,2025-05-05 15:05:11.997768,0,
0.0021262344,0.001958584,0.0026123135,0.00252338,0.0017501698,0.0023746723,0.0027588028,0.002057529,0.00237576,0.0023171126,0.0,2025-05-05 15:05:12.038019,0,
0.002240023,0.0019691603,0.002593944,0.0024927428,0.0017321757,0.0023393892,0.002741466,0.0019965728,0.0023806042,0.0023013984,0.0,2025-05-05 15:05:12.081148,0,
0.0021551622,0.002000496,0.0025879138,0.0024971429,0.0017152724,0.0023650443,0.0027354117,0.0019551981,0.0023795145,0.002289665,0.0,2025-05-05 15:05:12.122717,0,
0.0021422256,0.002015288,0.0025878206,0.0024678851,0.001699635,0.0023648818,0.0027363086,0.0020146589,0.002373341,0.0022828407,0.0,2025-05-05 15:05:12.185104,0,
0.0021342337,0.0020442833,0.0026301977,0.002457172,0.001693696,0.0023430674,0.0027606897,0.002083798,0.0023822952,0.0022820863,0.0,2025-05-05 15:05:12.226738,0,
0.0021168855,0.0020269705,0.002646188,0.0024835581,0.0017075408,0.0023579495,0.0027576878,0.0021388524,0.002374816,0.002305822,0.0,2025-05-05 15:05:12.268410,0,
0.0022472467,0.0019949481,0.002653375,0.0024940018,0.0017337991,0.0023564433,0.002743289,0.0021993162,0.002367552,0.0023172002,0.0,2025-05-05 15:05:12.310154,0,
0.002280592,0.0019967856,0.00262152,0.002489589,0.0017614131,0.0023672038,0.0027322995,0.0022359947,0.002349901,0.0023183909,0.0,2025-05-05 15:05:12.350909,0,
0.002305044,0.0020192734,0.0026311898,0.0024843717,0.0017758842,0.0023691482,0.0027506473,0.002232592,0.0023606594,0.0022983497,0.0,2025-05-05 15:05:12.391955,0,
0.0023124353,0.0020188275,0.0026530542,0.0024910262,0.0017763919,0.0023771545,0.002764996,0.002248351,0.0023698078,0.0023030143,0.0,2025-05-05 15:05:12.456075,0,
0.0022355053,0.0020259013,0.0026655074,0.002498869,0.0017869134,0.0023874645,0.0027613374,0.0022358075,0.002386937,0.0023052152,0.0,2025-05-05 15:05:12.497877,0,
0.0022086634,0.0020606718,0.0026726495,0.0025099162,0.0017813967,0.002405089,0.0027602,0.0021821659,0.002392162,0.002319326,0.0,2025-05-05 15:05:12.538343,0,
0.0022019905,0.0020669033,0.0026565061,0.002524126,0.0017617751,0.0024222957,0.0027564678,0.0021260157,0.0023826424,0.0023066418,0.0,2025-05-05 15:05:12.581123,0,
0.0021988305,0.0020274527,0.0026577362,0.0025126538,0.0017595917,0.0024592024,0.0027603835,0.002121881,0.0023581001,0.0023075712,0.0,2025-05-05 15:05:12.622641,0,
0.0022425198,0.0020697436,0.0026394874,0.0025142834,0.0017800479,0.0024544767,0.0027464202,0.0021439118,0.002367522,0.0022907534,0.0,2025-05-05 15:05:12.664232,0,
0.002230379,0.0020470787,0.002622271,0.0025150194,0.0018054842,0.0024414004,0.002732305,0.0021346528,0.0023265267,0.002278868,0.0,2025-05-05 15:05:12.726827,0,
0.002247149,0.0020318737,0.0026155035,0.0024922462,0.0018000064,0.0024184035,0.002745136,0.0021542741,0.0023276662,0.002268722,0.0,2025-05-05 15:05:12.768772,0,
