FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp,Curvature_Active,Position_cm
0.002061,0.001980,0.002445,0.002425,0.001704,0.002344,0.002697,0.002183,0.002347,0.002193,0.000000,2025-05-05 14:11:47.626461,0,
0.002170,0.002061,0.002572,0.002525,0.001732,0.002432,0.002799,0.002227,0.002415,0.002269,0.000000,2025-05-05 14:11:47.662394,0,
0.002130,0.002065,0.002567,0.002494,0.001737,0.002425,0.002797,0.002216,0.002413,0.002287,0.000000,2025-05-05 14:11:47.723771,0,
0.002216,0.002043,0.002560,0.002505,0.001737,0.002454,0.002805,0.002235,0.002382,0.002293,0.000000,2025-05-05 14:11:47.766065,0,
0.002243,0.002066,0.002597,0.002488,0.001713,0.002456,0.002799,0.002265,0.002377,0.002299,0.000000,2025-05-05 14:11:47.807193,0,
0.002235,0.002060,0.002639,0.002501,0.001705,0.002448,0.002815,0.002234,0.002392,0.002292,0.000000,2025-05-05 14:11:47.849584,0,
0.002249,0.002058,0.002647,0.002529,0.001723,0.002445,0.002831,0.002221,0.002386,0.002302,0.000000,2025-05-05 14:11:47.891618,0,
0.002287,0.002084,0.002623,0.002518,0.001724,0.002439,0.002846,0.002256,0.002368,0.002298,0.000000,2025-05-05 14:11:47.953640,0,
0.002368,0.002069,0.002647,0.002517,0.001738,0.002442,0.002851,0.002263,0.002397,0.002313,0.000000,2025-05-05 14:11:47.994093,0,
0.002365,0.002042,0.002645,0.002526,0.001739,0.002449,0.002829,0.002290,0.002384,0.002302,0.000000,2025-05-05 14:11:48.037044,0,
0.002330,0.002027,0.002631,0.002501,0.001729,0.002458,0.002838,0.002290,0.002383,0.002266,0.000000,2025-05-05 14:11:48.077148,0,
0.002354,0.002052,0.002634,0.002497,0.001746,0.002476,0.002835,0.002244,0.002367,0.002276,0.000000,2025-05-05 14:11:48.120331,0,
0.002323,0.002046,0.002598,0.002506,0.001724,0.002432,0.002829,0.002252,0.002354,0.002263,0.000000,2025-05-05 14:11:48.162023,0,
0.002283,0.002010,0.002605,0.002490,0.001733,0.002411,0.002817,0.002300,0.002365,0.002259,0.000000,2025-05-05 14:11:48.224450,0,
0.002293,0.002016,0.002585,0.002499,0.001716,0.002400,0.002814,0.002273,0.002361,0.002229,0.000000,2025-05-05 14:11:48.264544,0,
0.002182,0.001964,0.002562,0.002493,0.001729,0.002387,0.002808,0.002236,0.002356,0.002229,0.000000,2025-05-05 14:11:48.307951,0,
0.002203,0.001939,0.002566,0.002475,0.001733,0.002370,0.002793,0.002243,0.002339,0.002238,0.000000,2025-05-05 14:11:48.349452,0,
0.002230,0.001955,0.002570,0.002480,0.001723,0.002406,0.002778,0.002231,0.002312,0.002225,0.000000,2025-05-05 14:11:48.391185,0,
0.002273,0.002001,0.002577,0.002490,0.001705,0.002434,0.002763,0.002228,0.002311,0.002197,0.000000,2025-05-05 14:11:48.453819,0,
0.002191,0.002087,0.002647,0.002485,0.001714,0.002432,0.002795,0.002241,0.002291,0.002222,0.000000,2025-05-05 14:11:48.494722,0,
