FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp,Curvature_Active,Position_cm
0.0021919103,0.001905609,0.002512819,0.0024457215,0.0017256569,0.0023432106,0.0026611742,0.0021547826,0.0022150814,0.0020730044,0.0,2025-05-05 14:46:16.510648,0,
0.0022591185,0.0019568156,0.0026178793,0.002519804,0.0017406577,0.0024113168,0.0027656497,0.0021615475,0.0022940666,0.002156239,0.0,2025-05-05 14:46:16.547138,0,
0.0022284829,0.0019640906,0.0026293513,0.0024992442,0.0017446146,0.0023884003,0.0027750966,0.0021424503,0.002269024,0.0021512022,0.0,2025-05-05 14:46:16.609241,0,
0.0022428143,0.0019771028,0.0026039563,0.0025105549,0.001736073,0.0023636431,0.0027732493,0.0021683937,0.0022821361,0.002156359,0.0,2025-05-05 14:46:16.650831,0,
0.002249962,0.0019881348,0.0026097884,0.002487181,0.0017254567,0.002358288,0.0027822587,0.002201247,0.0022961325,0.0021443262,0.0,2025-05-05 14:46:16.692239,0,
0.0023193322,0.0020022937,0.0026248617,0.0024803965,0.0017227227,0.0023805534,0.0027807048,0.0022608323,0.0023212756,0.0021163016,0.0,2025-05-05 14:46:16.732998,0,
0.0022593213,0.0020017389,0.0026162043,0.002487558,0.0017369854,0.0023790542,0.0027881272,0.002286246,0.002331148,0.0021058861,0.0,2025-05-05 14:46:16.775863,0,
0.002261095,0.0019745112,0.0026077698,0.002475016,0.0017552292,0.0023848237,0.0027970595,0.0023083815,0.002344954,0.0021106962,0.0,2025-05-05 14:46:16.837482,0,
0.0022665553,0.0019544987,0.0026071742,0.002510751,0.0017844165,0.0023828908,0.002798131,0.0022815033,0.0023279001,0.0021018952,0.0,2025-05-05 14:46:16.880000,0,
0.002177455,0.001999387,0.002603608,0.002468875,0.0017949878,0.0023801443,0.0027890091,0.0022374229,0.0023302229,0.0020955398,0.0,2025-05-05 14:46:16.921629,0,
0.0022303278,0.0019695002,0.0025964135,0.0024566348,0.0017812463,0.0023693487,0.0027654262,0.0022720597,0.0023129755,0.0021211568,0.0,2025-05-05 14:46:16.962300,0,
0.0022599583,0.0019860093,0.0025769547,0.002461252,0.0017901086,0.0024149737,0.0027631733,0.0022713298,0.0023199287,0.0021421043,0.0,2025-05-05 14:46:17.004281,0,
0.002188234,0.0019655048,0.002573486,0.0024597014,0.0017980881,0.0024215765,0.0027409003,0.0022266225,0.0023359659,0.0021455153,0.0,2025-05-05 14:46:17.045933,0,
0.0022006037,0.0019868696,0.0025630968,0.0024796051,0.0017870428,0.0024441483,0.00275276,0.0022159037,0.0023152588,0.0021423853,0.0,2025-05-05 14:46:17.109252,0,
0.0022301495,0.00198694,0.002562664,0.0025018181,0.0017840427,0.002453569,0.002774513,0.0021976875,0.0023175634,0.0021552383,0.0,2025-05-05 14:46:17.150827,0,
0.0022534514,0.0019737983,0.0025687974,0.0024855782,0.0017628744,0.0024392803,0.0027595183,0.0021886637,0.0023023796,0.0021610989,0.0,2025-05-05 14:46:17.192351,0,
0.0023236112,0.0019537013,0.002535962,0.00246346,0.0017604126,0.002444945,0.0027749569,0.0021759488,0.0023184125,0.002163444,0.0,2025-05-05 14:46:17.234728,0,
0.0022877434,0.0019219725,0.0025238215,0.002466553,0.0017549632,0.0024442316,0.002768572,0.0022079435,0.0023047535,0.0021838765,0.0,2025-05-05 14:46:17.274587,0,
0.002240912,0.001910216,0.00252512,0.0024367552,0.0017473922,0.002439158,0.0027755199,0.0022097107,0.002309738,0.002189095,0.0,2025-05-05 14:46:17.338273,0,
0.0022304326,0.0019815809,0.0025189891,0.002464757,0.0017334633,0.002415908,0.002771342,0.002206073,0.002312928,0.0022070394,0.0,2025-05-05 14:46:17.379881,0,
0.0022018682,0.001992489,0.0025211335,0.0024869156,0.001721058,0.0023962143,0.0027773594,0.0022000321,0.0022973276,0.0021968058,0.0,2025-05-05 14:46:17.422131,0,
0.0022683912,0.0020074076,0.0025418482,0.0024979028,0.0017245541,0.0023951775,0.0027749774,0.0022021884,0.002286794,0.0022010328,0.0,2025-05-05 14:46:17.463704,0,
0.0022504213,0.001983055,0.0025373977,0.0025079388,0.0017417108,0.002387491,0.0027899053,0.0021843284,0.0023099785,0.002186178,0.0,2025-05-05 14:46:17.505404,0,
0.0022622265,0.0019790258,0.0025554532,0.002480076,0.001749769,0.0023653416,0.0027796694,0.0021348107,0.002312426,0.0021879815,0.0,2025-05-05 14:46:17.546787,0,
0.0023035342,0.0019725282,0.002566227,0.0024734829,0.0017775798,0.0023572724,0.002762613,0.002104432,0.002305923,0.0021857827,0.0,2025-05-05 14:46:17.608410,0,
0.0023829232,0.0019392768,0.002570008,0.0024700905,0.0017703545,0.0023662327,0.0027759545,0.0020991564,0.0023366811,0.0022036424,0.0,2025-05-05 14:46:17.649403,0,
0.002338589,0.0019492677,0.0025731109,0.0024992675,0.0017871169,0.0023431557,0.0027480542,0.0020853498,0.0023463126,0.0021912418,0.0,2025-05-05 14:46:17.692576,0,
0.0023720684,0.0019643689,0.0025955662,0.002493027,0.001765942,0.0023621207,0.0027527208,0.0021248597,0.0023302839,0.0021953506,0.0,2025-05-05 14:46:17.734229,0,
0.002371086,0.0019385915,0.002578287,0.0025106992,0.0017604977,0.0023572939,0.0027683005,0.0021389322,0.0023224382,0.0022150357,0.0,2025-05-05 14:46:17.775804,0,
0.0023575702,0.0019293091,0.002638668,0.002494843,0.0017375472,0.002361943,0.0027598012,0.0021613734,0.0023401363,0.0021768294,0.0,2025-05-05 14:46:17.817527,0,
0.0023478852,0.001891702,0.0026540929,0.0024894166,0.001726116,0.0023646776,0.00275502,0.002136427,0.0023297356,0.0021718503,0.0,2025-05-05 14:46:17.880624,0,
0.0023397782,0.001857119,0.0026024731,0.0024621678,0.0017107541,0.0023721664,0.0027431247,0.0021486455,0.002333222,0.0021305296,0.0,2025-05-05 14:46:17.920769,0,
0.002259861,0.0018489546,0.0025867997,0.002475194,0.0016912128,0.002400741,0.0027333787,0.0021160254,0.0023182938,0.0021369457,0.0,2025-05-05 14:46:17.963542,0,
0.0022020128,0.0018354908,0.0025953853,0.0024753555,0.0017045515,0.002392037,0.0027350774,0.002038019,0.002328507,0.0021398407,0.0,2025-05-05 14:46:18.005200,0,
0.0022214854,0.0018700509,0.0025932186,0.0024711832,0.0017162822,0.0023732665,0.0027305554,0.002029728,0.0023206912,0.002142881,0.0,2025-05-05 14:46:18.046863,0,
0.002151181,0.0018739557,0.002595905,0.0024594204,0.0017135836,0.0023768188,0.002725505,0.0020491502,0.0023274857,0.0021581396,0.0,2025-05-05 14:46:18.108307,0,
0.0021956791,0.0019292352,0.0026079183,0.0024836252,0.0017140885,0.002367432,0.0027330075,0.0020360812,0.0023253423,0.0021572534,0.0,2025-05-05 14:46:18.150803,0,
0.0021379313,0.0019831639,0.0025986996,0.0024509083,0.0016918732,0.0023577812,0.0027217336,0.0020719247,0.0022956033,0.0021477062,0.0,2025-05-05 14:46:18.193024,0,
0.0021618805,0.0020335347,0.00258117,0.0024525237,0.0017066362,0.0023547728,0.0027079554,0.0020713632,0.0023094097,0.0021469167,0.0,2025-05-05 14:46:18.233384,0,
0.002123698,0.0020350572,0.0025612025,0.0024217514,0.0016999244,0.0023513215,0.0027203695,0.002099296,0.0022706497,0.0021510217,0.0,2025-05-05 14:46:18.276057,0,
0.0021965501,0.0020421764,0.0025737467,0.0024024625,0.0017208817,0.0023711019,0.0027227576,0.002180178,0.002314135,0.0021526283,0.0,2025-05-05 14:46:18.316633,0,
0.0021248637,0.0020469008,0.0026087384,0.002404204,0.0017362256,0.0023805208,0.0027596313,0.0022196393,0.0022981204,0.0021597405,0.0,2025-05-05 14:46:18.380126,0,
0.0020859079,0.0020394484,0.0026226623,0.0024243183,0.0017475815,0.0023908068,0.0027802351,0.0022300256,0.0022929395,0.0021722997,0.0,2025-05-05 14:46:18.421704,0,
0.0020377743,0.0020062535,0.002601005,0.0024265656,0.0017520093,0.0024160568,0.0027787196,0.0021917613,0.0023047633,0.0021730056,0.0,2025-05-05 14:46:18.463525,0,
0.0020429785,0.001992904,0.002610918,0.0024350048,0.0017541512,0.002432437,0.0028011308,0.002201182,0.0023126353,0.0021535903,0.0,2025-05-05 14:46:18.505065,0,
0.0020532603,0.0019416097,0.002594377,0.002445286,0.0017606453,0.0024689068,0.0028079976,0.0022214965,0.0022859392,0.0021349646,0.0,2025-05-05 14:46:18.545400,0,
0.0020924464,0.0019211896,0.0025769654,0.0024539693,0.0017316801,0.0024674684,0.0027983862,0.0022516516,0.0022946186,0.002159304,0.0,2025-05-05 14:46:18.588358,0,
0.0021546655,0.0019231293,0.0025657986,0.0024704086,0.0017335425,0.002462159,0.002797339,0.0022354554,0.0022841203,0.002152981,0.0,2025-05-05 14:46:18.651018,0,
