Curvature_Error,Curvature_AbsError,Curvature_True,RunID
4.955215566759819e-07,4.955215566759819e-07,0.05,test 1
-7.751796854971182e-07,7.751796854971182e-07,0.05,test 1
9.135790171588276e-08,9.135790171588276e-08,0.05,test 1
9.510260123163361e-07,9.510260123163361e-07,0.05,test 1
1.6697579020841236e-07,1.6697579020841236e-07,0.05,test 1
4.892629680564031e-08,4.892629680564031e-08,0.05,test 1
1.178543929475362e-06,1.178543929475362e-06,0.05,test 1
2.1951437389894357e-06,2.1951437389894357e-06,0.05,test 1
7.21054693356149e-07,7.21054693356149e-07,0.05,test 1
-3.4004784203733873e-07,3.4004784203733873e-07,0.05,test 1
-2.101961262476748e-06,2.101961262476748e-06,0.05,test 1
-1.2897369488090726e-06,1.2897369488090726e-06,0.05,test 1
-8.48822981514008e-07,8.48822981514008e-07,0.05,test 1
9.329589651940751e-07,9.329589651940751e-07,0.05,test 1
-3.146198965520153e-07,3.146198965520153e-07,0.05,test 1
-8.220446031173556e-07,8.220446031173556e-07,0.05,test 1
2.81701155500913e-06,2.81701155500913e-06,0.05,test 1
2.197418192684264e-07,2.197418192684264e-07,0.05,test 1
-7.434840788855812e-08,7.434840788855812e-08,0.05,test 1
2.989360779401262e-07,2.989360779401262e-07,0.05,test 1
-1.610651225586457e-06,1.610651225586457e-06,0.05,test 1
1.3878434150793595e-06,1.3878434150793595e-06,0.05,test 1
2.3880879264359667e-07,2.3880879264359667e-07,0.05,test 1
-4.434360895838596e-07,4.434360895838596e-07,0.05,test 1
7.937592490653289e-07,7.937592490653289e-07,0.05,test 1
-1.929135606412724e-06,1.929135606412724e-06,0.05,test 1
-1.584759244943612e-06,1.584759244943612e-06,0.05,test 1
4.506315666452654e-07,4.506315666452654e-07,0.05,test 1
9.334964520130162e-08,9.334964520130162e-08,0.05,test 1
-6.530864148923676e-07,6.530864148923676e-07,0.05,test 1
6.820310783361982e-07,6.820310783361982e-07,0.05,test 1
7.59114707267472e-07,7.59114707267472e-07,0.05,test 1
1.5837180015326746e-07,1.5837180015326746e-07,0.05,test 1
4.5009433921605613e-07,4.5009433921605613e-07,0.05,test 1
3.995476079154958e-08,3.995476079154958e-08,0.05,test 1
3.5231467809121453e-07,3.5231467809121453e-07,0.05,test 1
-1.31245624132581e-07,1.31245624132581e-07,0.05,test 1
1.1755076104041917e-06,1.1755076104041917e-06,0.05,test 1
-6.127101183500683e-07,6.127101183500683e-07,0.05,test 1
1.1411292372143222e-06,1.1411292372143222e-06,0.05,test 1
5.883473094270286e-07,5.883473094270286e-07,0.05,test 1
4.963049966277833e-07,4.963049966277833e-07,0.05,test 1
2.4334169543283046e-07,2.4334169543283046e-07,0.05,test 1
7.984940778721361e-08,7.984940778721361e-08,0.05,test 1
1.3087138701906031e-07,1.3087138701906031e-07,0.05,test 1
1.1839642072297707e-07,1.1839642072297707e-07,0.05,test 1
5.8351295212366594e-08,5.8351295212366594e-08,0.05,test 1
1.1761356825262803e-07,1.1761356825262803e-07,0.05,test 1
2.0207262561161565e-07,2.0207262561161565e-07,0.05,test 1
2.4219892404142573e-07,2.4219892404142573e-07,0.05,test 1
8.024756298768976e-07,8.024756298768976e-07,0.05,test 1
4.82389163107555e-07,4.82389163107555e-07,0.05,test 1
4.898235681782825e-07,4.898235681782825e-07,0.05,test 1
7.810069787353435e-07,7.810069787353435e-07,0.05,test 1
1.766486084561758e-07,1.766486084561758e-07,0.05,test 1
2.8731150696070795e-07,2.8731150696070795e-07,0.05,test 1
-1.2645936171146177e-07,1.2645936171146177e-07,0.05,test 1
8.82400537846606e-08,8.82400537846606e-08,0.05,test 1
