FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp,Curvature_Active,Position_cm
0.0023193124,0.0019419804,0.0025322523,0.0024101392,0.0017616039,0.002297295,0.002653102,0.0021582518,0.0022971006,0.0020950388,0.0,2025-05-05 15:10:07.873673,0,
0.0024729788,0.0019917828,0.0026217492,0.0025070205,0.0017688271,0.0023922108,0.0027646208,0.0022146085,0.0023792328,0.0021911084,0.0,2025-05-05 15:10:07.911003,0,
0.0024320204,0.0020019237,0.0026420027,0.0025135071,0.0017781479,0.0023698378,0.0027513413,0.0021877987,0.0023630422,0.0022056159,0.0,2025-05-05 15:10:07.972102,0,
0.0024619903,0.0019956583,0.0026224013,0.0025250195,0.0017705804,0.0023746172,0.0027559486,0.0022065842,0.002358177,0.0022113966,0.0,2025-05-05 15:10:08.013471,0,
0.0023972327,0.0020582248,0.0026402054,0.002514915,0.0017807733,0.0023680967,0.0027510372,0.0022481163,0.0023620154,0.0022194486,0.0,2025-05-05 15:10:08.055291,0,
0.0023369612,0.0020198484,0.0026566915,0.0025288942,0.0017933478,0.002371464,0.002737721,0.002250778,0.0023517443,0.0022006596,0.0,2025-05-05 15:10:08.097992,0,
0.002324077,0.0019802423,0.0026114697,0.0025264134,0.0017927155,0.0023738514,0.002733405,0.0022030582,0.0023563849,0.0022073279,0.0,2025-05-05 15:10:08.138322,0,
0.0023014944,0.0019763417,0.0025833303,0.0025375136,0.0018295755,0.0023566596,0.0027310527,0.002177436,0.0023678073,0.0022258174,0.0,2025-05-05 15:10:08.202237,0,
0.0022714734,0.0019785443,0.0025762003,0.0025534187,0.0018128803,0.0023647868,0.0027255334,0.0021597857,0.0023557122,0.0022187892,0.0,2025-05-05 15:10:08.243858,0,
0.002284349,0.0020027936,0.0026139845,0.002556717,0.0018267346,0.002385157,0.0027478084,0.002156005,0.002363202,0.0022331728,0.0,2025-05-05 15:10:08.285504,0,
0.002362869,0.0019394037,0.002617904,0.0025749842,0.0018149703,0.0023949041,0.0027651489,0.0021649625,0.0023680364,0.0022186632,0.0,2025-05-05 15:10:08.328197,0,
0.0023412018,0.0019118469,0.0026272521,0.002555163,0.0018028021,0.0023950415,0.0027699228,0.0021787856,0.0023863504,0.0022236493,0.0,2025-05-05 15:10:08.368881,0,
0.0023055335,0.0019093198,0.0026444253,0.0025548325,0.001764332,0.0024117467,0.002770709,0.0021521896,0.0023676427,0.0022140965,0.0,2025-05-05 15:10:08.410544,0,
0.0023521653,0.001927219,0.0026515035,0.002534295,0.0017360466,0.002404458,0.0027638478,0.0021533025,0.0023915255,0.0022207685,0.0,2025-05-05 15:10:08.472989,0,
0.0023234026,0.0019412006,0.002649352,0.0025333876,0.0017381605,0.0024087147,0.0027703233,0.002172801,0.0023832503,0.0022029122,0.0,2025-05-05 15:10:08.514586,0,
0.0023410309,0.0019556598,0.0026348508,0.0025124492,0.0017167883,0.002414844,0.0027729531,0.0021912162,0.0023986541,0.002209213,0.0,2025-05-05 15:10:08.556645,0,
0.0022879883,0.001928711,0.0026691407,0.0025256043,0.0017151036,0.0024072044,0.002783885,0.0022002505,0.0023838314,0.0022413728,0.0,2025-05-05 15:10:08.598034,0,
0.0022409696,0.0019409619,0.0026464595,0.0025347273,0.0017325695,0.0024071855,0.0027904583,0.0021991848,0.0024084253,0.0022213657,0.0,2025-05-05 15:10:08.639008,0,
0.0022127607,0.0019403106,0.0026063735,0.002516172,0.0017566497,0.0024055012,0.002800924,0.0021739684,0.002382942,0.0022123056,0.0,2025-05-05 15:10:08.702119,0,
0.0022182933,0.001948712,0.002629153,0.0024835146,0.0017735936,0.0023833024,0.0027866845,0.00216233,0.0023633295,0.0022006908,0.0,2025-05-05 15:10:08.743902,0,
0.0023107966,0.0019310423,0.002626694,0.0024692903,0.0017839529,0.0023648452,0.0027700844,0.0021500387,0.0023620666,0.002218674,0.0,2025-05-05 15:10:08.784877,0,
0.0022741163,0.001943669,0.0026178532,0.0024790657,0.0017910008,0.00237628,0.0027738458,0.0021783616,0.0023764435,0.0022116117,0.0,2025-05-05 15:10:08.827388,0,
0.0023032967,0.0019316588,0.0026003767,0.0024586772,0.0017623394,0.0023784924,0.0027883442,0.002171554,0.002382586,0.0022043926,0.0,2025-05-05 15:10:08.868917,0,
0.0023238698,0.0019749913,0.0026284582,0.0024654223,0.0017704515,0.0024106815,0.002809296,0.0021399462,0.0023976297,0.002180212,0.0,2025-05-05 15:10:08.910748,0,
0.002407971,0.0019416275,0.0026532358,0.0025023886,0.0017627719,0.0024174107,0.0028127453,0.0021587422,0.0024057252,0.0022064876,0.0,2025-05-05 15:10:08.971641,0,
0.002441695,0.0019867397,0.002642504,0.002480546,0.0017501843,0.002411632,0.0028032523,0.0021687173,0.0024053913,0.0021960905,0.0,2025-05-05 15:10:09.013358,0,
0.002496051,0.001968772,0.0026205117,0.0024760058,0.0017685939,0.0024009913,0.002807379,0.0021845533,0.0024398547,0.002174642,0.0,2025-05-05 15:10:09.056492,0,
0.002438711,0.001966344,0.0026234137,0.0024844806,0.0017432292,0.002378803,0.0027872242,0.0021924064,0.0024268925,0.0021578423,0.0,2025-05-05 15:10:09.097842,0,
0.002422558,0.0019420641,0.0026764118,0.0024882306,0.001762296,0.0023934965,0.0027866475,0.0021961536,0.0024023585,0.00216064,0.0,2025-05-05 15:10:09.139790,0,
0.002438879,0.001969928,0.0026333998,0.0024713618,0.0017295926,0.002408984,0.002782161,0.0021757605,0.002384565,0.0021518695,0.0,2025-05-05 15:10:09.180739,0,
0.002423914,0.0020084288,0.0026338522,0.002448186,0.0017396661,0.0024151655,0.0027718996,0.0021685674,0.002383542,0.0021447134,0.0,2025-05-05 15:10:09.244244,0,
0.0024235235,0.0020556387,0.0026456541,0.0024571964,0.001732842,0.0024354372,0.002759797,0.002150772,0.0023916275,0.0021282304,0.0,2025-05-05 15:10:09.285809,0,
0.0024225889,0.0020353429,0.0026400487,0.0024758168,0.0017297771,0.002452185,0.0027571926,0.002149252,0.0023642841,0.0021209088,0.0,2025-05-05 15:10:09.325979,0,
0.0023440532,0.0020460829,0.0026334168,0.0024653873,0.0017290699,0.0024192582,0.0027285125,0.0021288644,0.002361038,0.0021230464,0.0,2025-05-05 15:10:09.369085,0,
0.0024022337,0.0020248562,0.0025847964,0.0024779437,0.0017428243,0.0023950622,0.0027206733,0.0021307995,0.0023954313,0.002142191,0.0,2025-05-05 15:10:09.410547,0,
