FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp,Curvature_Active,Position_cm
0.0021166827,0.002032867,0.002566357,0.002414478,0.0017421168,0.0022979747,0.002697743,0.0020784533,0.0022332298,0.0020507348,0.0,2025-05-05 14:41:00.256196,0,
0.0022504611,0.002088734,0.0026692692,0.0025150497,0.00175989,0.0023744775,0.0028003315,0.002122929,0.0023100683,0.0021396668,0.0,2025-05-05 14:41:00.293197,0,
0.0022349157,0.0020465313,0.0026513222,0.0024988358,0.0017584339,0.0023825623,0.0027930972,0.0021238313,0.002328366,0.0021346703,0.0,2025-05-05 14:41:00.354996,0,
0.0022562293,0.0020003414,0.002665296,0.0024884497,0.0017874206,0.0023982525,0.0028052737,0.0021244846,0.0023469925,0.0021378573,0.0,2025-05-05 14:41:00.397244,0,
0.0022678075,0.0019842477,0.002702777,0.0025004032,0.0017862922,0.0024106784,0.0028187945,0.0021515072,0.002345709,0.0021444282,0.0,2025-05-05 14:41:00.437966,0,
0.0022490753,0.0019773974,0.0026517026,0.0024862313,0.0017792948,0.0024100237,0.0027971764,0.0021480422,0.0023207655,0.0021320228,0.0,2025-05-05 14:41:00.480459,0,
0.002281776,0.0019712045,0.0026279164,0.0024938416,0.0017728043,0.0024028714,0.0027816186,0.002159008,0.0023239157,0.0021149372,0.0,2025-05-05 14:41:00.523014,0,
0.0022240363,0.0019524521,0.0026069074,0.0024835013,0.0017547954,0.002407234,0.0027577914,0.0021860497,0.0023039174,0.0021222087,0.0,2025-05-05 14:41:00.584638,0,
0.0022130434,0.001968319,0.0026004992,0.002482751,0.0017259145,0.002361856,0.0027430994,0.0022083847,0.0022958803,0.0020983103,0.0,2025-05-05 14:41:00.626264,0,
0.002184374,0.0019783457,0.002602489,0.0025138273,0.0017336394,0.0023556978,0.0027251684,0.002210336,0.0022978499,0.002066769,0.0,2025-05-05 14:41:00.668069,0,
0.002196216,0.0019771312,0.0026284326,0.0025540858,0.0017313482,0.002377114,0.0027534047,0.0022313055,0.00228337,0.0020803441,0.0,2025-05-05 14:41:00.710025,0,
0.0022677896,0.0020038763,0.002608925,0.0025784336,0.0017539643,0.0024142296,0.0027763254,0.0022160634,0.0022969346,0.00209616,0.0,2025-05-05 14:41:00.750976,0,
0.002351732,0.0019751787,0.0026629516,0.0025927254,0.0017414247,0.0024188303,0.002774091,0.0021889526,0.002311664,0.0021124878,0.0,2025-05-05 14:41:00.792902,0,
0.00237606,0.0019261693,0.0026307276,0.002582826,0.0017512725,0.0024301752,0.002744616,0.0021682882,0.0023169005,0.0021044335,0.0,2025-05-05 14:41:00.855551,0,
0.0023769413,0.0019169846,0.0026270857,0.0025634966,0.0017338404,0.0024412142,0.0027409797,0.0022089526,0.002315072,0.0021332137,0.0,2025-05-05 14:41:00.897135,0,
