FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp,Curvature_Active,Position_cm,object_id,run_id
0.002483,0.002199,0.00291,0.002667,0.001875,0.001912,0.002796,0.002309,0.002339,0.00199,0.0023,2025-05-05 13:51:07.654307,1,0.0,0_05,2
0.00237,0.001987,0.002611,0.002521,0.001783,0.002508,0.00284,0.002225,0.002336,0.002323,0.0227,2025-05-05 13:51:08.069280,1,0.0,0_05,2
0.002275,0.002014,0.002782,0.002607,0.001802,0.002562,0.002864,0.002348,0.002414,0.00232,0.0432,2025-05-05 13:51:08.465311,1,0.0,0_05,2
0.002283,0.002144,0.002689,0.002648,0.001757,0.002492,0.00287,0.002225,0.00224,0.00232,0.05,2025-05-05 13:51:08.881766,1,0.0,0_05,2
0.002137,0.002017,0.002645,0.002662,0.001758,0.002514,0.002846,0.002296,0.00232,0.002329,0.05,2025-05-05 13:51:09.277800,1,0.0,0_05,2
0.002267,0.002088,0.002705,0.002622,0.001792,0.002519,0.002859,0.00226,0.002286,0.002288,0.05,2025-05-05 13:51:09.694366,1,0.0,0_05,2
0.002169,0.002117,0.002645,0.002575,0.001762,0.002434,0.00291,0.002301,0.002357,0.002302,0.05,2025-05-05 13:51:10.110975,1,0.0,0_05,2
0.002243,0.00206,0.0027,0.002651,0.001811,0.002448,0.002877,0.002276,0.002356,0.002339,0.05,2025-05-05 13:51:10.508517,1,0.0,0_05,2
0.002219,0.002069,0.002686,0.002527,0.001697,0.002472,0.002859,0.002257,0.002345,0.002302,0.05,2025-05-05 13:51:10.925213,1,0.0,0_05,2
0.002271,0.002055,0.002741,0.002632,0.001742,0.002377,0.002826,0.002307,0.00235,0.002332,0.05,2025-05-05 13:51:11.321109,1,0.0,0_05,2
0.002645,0.002076,0.002691,0.0026,0.001752,0.00254,0.002871,0.002334,0.00237,0.002403,0.05,2025-05-05 13:51:11.737723,1,0.0,0_05,2
