FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp,Curvature_Active,Position_cm
0.002083,0.001964,0.002550,0.002484,0.001739,0.002398,0.002698,0.002233,0.002326,0.002104,0.000000,2025-05-05 14:14:11.518843,0,
0.002103,0.002013,0.002663,0.002555,0.001759,0.002487,0.002808,0.002262,0.002393,0.002212,0.000000,2025-05-05 14:14:11.555359,0,
0.002038,0.001984,0.002647,0.002556,0.001780,0.002458,0.002797,0.002258,0.002377,0.002218,0.000000,2025-05-05 14:14:11.618257,0,
0.002084,0.001943,0.002627,0.002562,0.001766,0.002450,0.002804,0.002257,0.002418,0.002229,0.000000,2025-05-05 14:14:11.658449,0,
0.002170,0.001980,0.002585,0.002571,0.001778,0.002447,0.002795,0.002268,0.002415,0.002221,0.000000,2025-05-05 14:14:11.701455,0,
0.002217,0.001983,0.002600,0.002531,0.001779,0.002446,0.002800,0.002252,0.002369,0.002225,0.000000,2025-05-05 14:14:11.743046,0,
0.002277,0.001995,0.002604,0.002543,0.001782,0.002445,0.002810,0.002227,0.002385,0.002264,0.000000,2025-05-05 14:14:11.785049,0,
0.002308,0.001982,0.002620,0.002552,0.001775,0.002440,0.002817,0.002226,0.002385,0.002264,0.000000,2025-05-05 14:14:11.847290,0,
0.002283,0.002025,0.002682,0.002568,0.001765,0.002406,0.002816,0.002266,0.002396,0.002263,0.000000,2025-05-05 14:14:11.888932,0,
0.002328,0.002007,0.002662,0.002559,0.001772,0.002413,0.002811,0.002275,0.002400,0.002254,0.000000,2025-05-05 14:14:11.930685,0,
0.002346,0.002053,0.002665,0.002563,0.001776,0.002398,0.002820,0.002236,0.002382,0.002234,0.000000,2025-05-05 14:14:11.972643,0,
0.002355,0.002073,0.002668,0.002604,0.001809,0.002381,0.002824,0.002202,0.002351,0.002239,0.000000,2025-05-05 14:14:12.013917,0,
0.002264,0.002065,0.002701,0.002649,0.001825,0.002381,0.002819,0.002154,0.002336,0.002211,0.000000,2025-05-05 14:14:12.055544,0,
0.002238,0.002042,0.002714,0.002623,0.001813,0.002398,0.002811,0.002142,0.002365,0.002206,0.000000,2025-05-05 14:14:12.118108,0,
0.002241,0.002060,0.002753,0.002627,0.001785,0.002390,0.002799,0.002101,0.002369,0.002223,0.000000,2025-05-05 14:14:12.159678,0,
0.002242,0.002038,0.002769,0.002658,0.001753,0.002403,0.002788,0.002092,0.002369,0.002208,0.000000,2025-05-05 14:14:12.201222,0,
0.002300,0.002047,0.002753,0.002678,0.001724,0.002410,0.002787,0.002091,0.002369,0.002167,0.000000,2025-05-05 14:14:12.243280,0,
0.002260,0.002036,0.002720,0.002652,0.001731,0.002425,0.002760,0.002059,0.002391,0.002189,0.000000,2025-05-05 14:14:12.284854,0,
0.002215,0.002047,0.002697,0.002656,0.001737,0.002449,0.002761,0.002059,0.002420,0.002191,0.000000,2025-05-05 14:14:12.347209,0,
0.002205,0.002020,0.002723,0.002641,0.001750,0.002461,0.002756,0.002102,0.002412,0.002188,0.000000,2025-05-05 14:14:12.388909,0,
0.002236,0.002033,0.002742,0.002643,0.001753,0.002498,0.002789,0.002107,0.002384,0.002213,0.000000,2025-05-05 14:14:12.431119,0,
0.002195,0.002010,0.002743,0.002640,0.001761,0.002482,0.002812,0.002053,0.002364,0.002190,0.000000,2025-05-05 14:14:12.471899,0,
0.002132,0.002010,0.002762,0.002585,0.001773,0.002454,0.002798,0.002043,0.002349,0.002211,0.000000,2025-05-05 14:14:12.514128,0,
0.002152,0.001968,0.002754,0.002549,0.001794,0.002422,0.002787,0.002097,0.002360,0.002194,0.000000,2025-05-05 14:14:12.555796,0,
0.002155,0.002017,0.002756,0.002553,0.001773,0.002416,0.002799,0.002091,0.002376,0.002185,0.000000,2025-05-05 14:14:12.617905,0,
0.002164,0.002019,0.002762,0.002575,0.001764,0.002397,0.002800,0.002110,0.002383,0.002203,0.000000,2025-05-05 14:14:12.659947,0,
0.002212,0.002044,0.002729,0.002528,0.001751,0.002352,0.002800,0.002162,0.002371,0.002229,0.000000,2025-05-05 14:14:12.701595,0,
0.002187,0.002103,0.002722,0.002540,0.001758,0.002329,0.002811,0.002218,0.002401,0.002212,0.000000,2025-05-05 14:14:12.743162,0,
0.002219,0.002141,0.002695,0.002557,0.001771,0.002342,0.002814,0.002291,0.002420,0.002220,0.000000,2025-05-05 14:14:12.785024,0,
0.002225,0.002138,0.002679,0.002555,0.001783,0.002348,0.002812,0.002311,0.002443,0.002245,0.000000,2025-05-05 14:14:12.826368,0,
0.002166,0.002113,0.002655,0.002514,0.001781,0.002349,0.002783,0.002290,0.002426,0.002256,0.000000,2025-05-05 14:14:12.889489,0,
0.002192,0.002110,0.002643,0.002495,0.001779,0.002355,0.002757,0.002286,0.002405,0.002253,0.000000,2025-05-05 14:14:12.930673,0,
0.002161,0.002070,0.002610,0.002534,0.001767,0.002406,0.002785,0.002229,0.002378,0.002236,0.000000,2025-05-05 14:14:12.972271,0,
0.002153,0.002059,0.002595,0.002550,0.001797,0.002399,0.002802,0.002240,0.002374,0.002250,0.000000,2025-05-05 14:14:13.014057,0,
0.002149,0.002090,0.002597,0.002572,0.001775,0.002433,0.002802,0.002276,0.002361,0.002268,0.000000,2025-05-05 14:14:13.055592,0,
0.002097,0.002068,0.002608,0.002585,0.001767,0.002466,0.002832,0.002291,0.002344,0.002258,0.000000,2025-05-05 14:14:13.118135,0,
0.002179,0.002042,0.002610,0.002620,0.001761,0.002483,0.002847,0.002274,0.002365,0.002222,0.000000,2025-05-05 14:14:13.159663,0,
0.002137,0.002012,0.002613,0.002640,0.001759,0.002456,0.002859,0.002261,0.002350,0.002219,0.000000,2025-05-05 14:14:13.200993,0,
0.002167,0.002013,0.002613,0.002632,0.001751,0.002464,0.002840,0.002280,0.002391,0.002217,0.000000,2025-05-05 14:14:13.243076,0,
0.002204,0.001988,0.002613,0.002613,0.001752,0.002476,0.002843,0.002223,0.002367,0.002202,0.000000,2025-05-05 14:14:13.284757,0,
0.002246,0.001948,0.002578,0.002658,0.001751,0.002501,0.002852,0.002190,0.002353,0.002189,0.000000,2025-05-05 14:14:13.325195,0,
0.002292,0.001962,0.002558,0.002662,0.001750,0.002495,0.002857,0.002165,0.002339,0.002191,0.000000,2025-05-05 14:14:13.389065,0,
0.002263,0.001950,0.002547,0.002641,0.001735,0.002504,0.002836,0.002120,0.002362,0.002181,0.000000,2025-05-05 14:14:13.430691,0,
0.002262,0.001992,0.002546,0.002601,0.001751,0.002508,0.002817,0.002106,0.002357,0.002183,0.000000,2025-05-05 14:14:13.472354,0,
0.002246,0.002076,0.002514,0.002603,0.001760,0.002484,0.002822,0.002153,0.002362,0.002166,0.000000,2025-05-05 14:14:13.514092,0,
0.002271,0.002096,0.002499,0.002579,0.001735,0.002464,0.002780,0.002203,0.002369,0.002160,0.000000,2025-05-05 14:14:13.555585,0,
0.002245,0.002099,0.002492,0.002541,0.001741,0.002475,0.002758,0.002225,0.002391,0.002192,0.000000,2025-05-05 14:14:13.595967,0,
0.002301,0.002070,0.002476,0.002539,0.001737,0.002460,0.002763,0.002201,0.002375,0.002200,0.000000,2025-05-05 14:14:13.659991,0,
0.002302,0.002113,0.002526,0.002532,0.001717,0.002467,0.002797,0.002178,0.002379,0.002203,0.000000,2025-05-05 14:14:13.701670,0,
0.002289,0.002035,0.002517,0.002553,0.001715,0.002487,0.002811,0.002189,0.002393,0.002209,0.000000,2025-05-05 14:14:13.743225,0,
0.002379,0.002077,0.002553,0.002517,0.001707,0.002472,0.002814,0.002179,0.002424,0.002179,0.000000,2025-05-05 14:14:13.783621,0,
0.002407,0.002047,0.002569,0.002520,0.001703,0.002454,0.002819,0.002125,0.002417,0.002166,0.000000,2025-05-05 14:14:13.826669,0,
0.002396,0.002065,0.002587,0.002524,0.001712,0.002428,0.002808,0.002114,0.002386,0.002168,0.000000,2025-05-05 14:14:13.889165,0,
0.002356,0.002024,0.002606,0.002523,0.001718,0.002419,0.002821,0.002086,0.002354,0.002168,0.000000,2025-05-05 14:14:13.931380,0,
0.002395,0.002054,0.002617,0.002520,0.001747,0.002399,0.002808,0.002090,0.002344,0.002167,0.000000,2025-05-05 14:14:13.971681,0,
0.002442,0.002048,0.002622,0.002507,0.001739,0.002371,0.002826,0.002104,0.002323,0.002174,0.000000,2025-05-05 14:14:14.012578,0,
0.002440,0.002020,0.002622,0.002532,0.001727,0.002381,0.002837,0.002110,0.002340,0.002158,0.000000,2025-05-05 14:14:14.054841,0,
