FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp,Curvature_Active,Position_cm,object_id,run_id
0.002483,0.002199,0.00291,0.002667,0.001875,0.001912,0.002796,0.002309,0.002339,0.00199,0.0023,2025-05-05 13:51:07.654307,1,0.0,0_05,2
0.002113,0.002149,0.003174,0.002613,0.001477,0.001986,0.00273,0.002289,0.002298,0.002081,0.0091,2025-05-05 13:51:07.779343,1,0.0,0_05,2
0.002218,0.002105,0.002646,0.00257,0.001743,0.002405,0.002876,0.002226,0.002289,0.002324,0.0159,2025-05-05 13:51:07.925105,1,0.0,0_05,2
0.00237,0.001987,0.002611,0.002521,0.001783,0.002508,0.00284,0.002225,0.002336,0.002323,0.0227,2025-05-05 13:51:08.069280,1,0.0,0_05,2
0.002247,0.001968,0.002683,0.002564,0.001761,0.002559,0.002854,0.002244,0.002381,0.002286,0.0295,2025-05-05 13:51:08.194632,1,0.0,0_05,2
0.002211,0.002009,0.002779,0.002628,0.00178,0.002602,0.002865,0.002321,0.00243,0.00229,0.0364,2025-05-05 13:51:08.340333,1,0.0,0_05,2
0.002275,0.002014,0.002782,0.002607,0.001802,0.002562,0.002864,0.002348,0.002414,0.00232,0.0432,2025-05-05 13:51:08.465311,1,0.0,0_05,2
0.002279,0.00201,0.002726,0.00258,0.001803,0.002543,0.002851,0.002299,0.002359,0.002321,0.05,2025-05-05 13:51:08.612963,1,0.0,0_05,2
0.002269,0.002068,0.002686,0.002568,0.001804,0.002487,0.002837,0.002197,0.002248,0.002307,0.05,2025-05-05 13:51:08.736909,1,0.0,0_05,2
0.002283,0.002144,0.002689,0.002648,0.001757,0.002492,0.00287,0.002225,0.00224,0.00232,0.05,2025-05-05 13:51:08.881766,1,0.0,0_05,2
0.002171,0.002063,0.002703,0.002689,0.001761,0.00247,0.002864,0.002277,0.00228,0.002369,0.05,2025-05-05 13:51:09.006841,1,0.0,0_05,2
0.002151,0.002033,0.002672,0.002661,0.001778,0.002516,0.002861,0.0023,0.002294,0.002363,0.05,2025-05-05 13:51:09.152646,1,0.0,0_05,2
0.002137,0.002017,0.002645,0.002662,0.001758,0.002514,0.002846,0.002296,0.00232,0.002329,0.05,2025-05-05 13:51:09.277800,1,0.0,0_05,2
0.002182,0.002016,0.00263,0.002587,0.001789,0.002473,0.002819,0.002328,0.002363,0.002291,0.05,2025-05-05 13:51:09.424797,1,0.0,0_05,2
0.002289,0.002091,0.002712,0.002644,0.001787,0.002497,0.00284,0.002269,0.002311,0.002296,0.05,2025-05-05 13:51:09.550185,1,0.0,0_05,2
0.002267,0.002088,0.002705,0.002622,0.001792,0.002519,0.002859,0.00226,0.002286,0.002288,0.05,2025-05-05 13:51:09.694366,1,0.0,0_05,2
0.002226,0.001967,0.002678,0.002634,0.001793,0.002487,0.002861,0.002224,0.002295,0.002275,0.05,2025-05-05 13:51:09.820925,1,0.0,0_05,2
0.002145,0.002023,0.002651,0.002576,0.001828,0.002421,0.002853,0.002263,0.002357,0.002266,0.05,2025-05-05 13:51:09.966440,1,0.0,0_05,2
0.002169,0.002117,0.002645,0.002575,0.001762,0.002434,0.00291,0.002301,0.002357,0.002302,0.05,2025-05-05 13:51:10.110975,1,0.0,0_05,2
0.002275,0.002074,0.002669,0.002591,0.001677,0.002411,0.002891,0.002246,0.00234,0.002341,0.05,2025-05-05 13:51:10.236667,1,0.0,0_05,2
0.002279,0.00209,0.00269,0.002624,0.001788,0.002457,0.002879,0.002231,0.002308,0.00233,0.05,2025-05-05 13:51:10.383434,1,0.0,0_05,2
0.002243,0.00206,0.0027,0.002651,0.001811,0.002448,0.002877,0.002276,0.002356,0.002339,0.05,2025-05-05 13:51:10.508517,1,0.0,0_05,2
0.002162,0.001962,0.002665,0.002582,0.001818,0.002429,0.002839,0.002281,0.002396,0.002324,0.05,2025-05-05 13:51:10.653010,1,0.0,0_05,2
0.002141,0.002045,0.002667,0.002537,0.00178,0.002477,0.002854,0.002282,0.002384,0.002323,0.05,2025-05-05 13:51:10.779386,1,0.0,0_05,2
0.002219,0.002069,0.002686,0.002527,0.001697,0.002472,0.002859,0.002257,0.002345,0.002302,0.05,2025-05-05 13:51:10.925213,1,0.0,0_05,2
0.002229,0.002073,0.002716,0.002565,0.001798,0.002444,0.002854,0.002283,0.0023,0.002277,0.05,2025-05-05 13:51:11.050593,1,0.0,0_05,2
0.002219,0.002072,0.002755,0.002584,0.001855,0.002383,0.002868,0.002319,0.002305,0.00231,0.05,2025-05-05 13:51:11.195980,1,0.0,0_05,2
0.002271,0.002055,0.002741,0.002632,0.001742,0.002377,0.002826,0.002307,0.00235,0.002332,0.05,2025-05-05 13:51:11.321109,1,0.0,0_05,2
0.002341,0.002019,0.002751,0.002637,0.001766,0.00243,0.002865,0.002279,0.002341,0.002368,0.05,2025-05-05 13:51:11.466965,1,0.0,0_05,2
0.002445,0.002068,0.002722,0.002593,0.0018,0.002475,0.002906,0.002333,0.002284,0.00241,0.05,2025-05-05 13:51:11.591722,1,0.0,0_05,2
0.002645,0.002076,0.002691,0.0026,0.001752,0.00254,0.002871,0.002334,0.00237,0.002403,0.05,2025-05-05 13:51:11.737723,1,0.0,0_05,2
0.002498,0.001974,0.00266,0.002567,0.001781,0.002553,0.002882,0.002377,0.002355,0.002394,0.05,2025-05-05 13:51:11.861960,1,0.0,0_05,2
0.002332,0.001983,0.002621,0.00258,0.001753,0.002546,0.002852,0.002327,0.002308,0.002401,0.05,2025-05-05 13:51:12.008717,1,0.0,0_05,2
